x,y
806.0,495.0
806.0,492.0
809.0,476.0
809.0,476.0
805.0,441.0
805.0,438.0
806.0,447.0
806.0,447.0
821.0,483.0
831.0,492.0
840.0,494.0
840.0,494.0
848.0,485.0
848.0,485.0
846.0,453.0
844.0,435.0
844.0,435.0
846.0,434.0
846.0,434.0
851.0,449.0
871.0,486.0
882.0,492.0
882.0,492.0
890.0,484.0
890.0,484.0
894.0,475.0
897.0,451.0
906.0,445.0
906.0,445.0
920.0,441.0
920.0,441.0
939.0,448.0
967.0,473.0
969.0,486.0
969.0,486.0
961.0,495.0
930.0,482.0
926.0,469.0
926.0,469.0
928.0,456.0
928.0,456.0
938.0,445.0
960.0,454.0
968.0,471.0
968.0,471.0
973.0,486.0
973.0,486.0
970.0,489.0
971.0,475.0
977.0,460.0
977.0,460.0
981.0,444.0
981.0,444.0
983.0,440.0
979.0,458.0
967.0,483.0
967.0,483.0
950.0,509.0
950.0,509.0
932.0,527.0
903.0,555.0
901.0,560.0
901.0,560.0
906.0,560.0
906.0,560.0
918.0,553.0
953.0,535.0
968.0,530.0
968.0,530.0
973.0,530.0
973.0,530.0
964.0,531.0
