x,y
650.0,514.0
652.0,504.0
650.0,503.0
654.0,496.0
650.0,488.0
653.0,476.0
650.0,473.0
649.0,436.0
649.0,432.0
648.0,427.0
647.0,428.0
647.0,428.0
650.0,436.0
657.0,467.0
662.0,471.0
663.0,484.0
666.0,498.0
670.0,501.0
685.0,508.0
691.0,508.0
696.0,507.0
701.0,489.0
704.0,474.0
705.0,467.0
705.0,457.0
705.0,452.0
705.0,442.0
706.0,435.0
703.0,444.0
702.0,447.0
700.0,457.0
704.0,463.0
705.0,474.0
711.0,484.0
718.0,495.0
724.0,506.0
738.0,520.0
755.0,520.0
757.0,510.0
758.0,504.0
758.0,494.0
759.0,477.0
756.0,468.0
761.0,453.0
795.0,446.0
806.0,453.0
816.0,465.0
816.0,465.0
826.0,474.0
836.0,503.0
830.0,504.0
818.0,495.0
810.0,492.0
806.0,486.0
805.0,476.0
802.0,472.0
801.0,464.0
810.0,445.0
816.0,442.0
821.0,443.0
840.0,446.0
848.0,451.0
856.0,456.0
864.0,462.0
893.0,478.0
900.0,480.0
908.0,482.0
914.0,487.0
919.0,489.0
918.0,488.0
915.0,486.0
907.0,483.0
899.0,477.0
885.0,456.0
886.0,449.0
889.0,440.0
892.0,434.0
896.0,428.0
928.0,437.0
931.0,445.0
932.0,456.0
931.0,461.0
928.0,469.0
928.0,469.0
922.0,479.0
912.0,486.0
858.0,528.0
843.0,537.0
828.0,542.0
817.0,549.0
809.0,554.0
794.0,567.0
797.0,566.0
810.0,567.0
823.0,564.0
835.0,561.0
853.0,558.0
868.0,556.0
881.0,555.0
897.0,550.0
931.0,543.0
935.0,540.0
941.0,536.0
942.0,536.0
940.0,536.0
938.0,534.0
935.0,536.0
929.0,534.0
924.0,535.0
