x,y
456.0,480.0
456.0,479.0
460.0,461.0
461.0,452.0
459.0,430.0
457.0,413.0
452.0,396.0
452.0,396.0
445.0,387.0
439.0,384.0
441.0,394.0
443.0,406.0
444.0,421.0
455.0,452.0
488.0,477.0
496.0,479.0
506.0,477.0
510.0,471.0
515.0,464.0
516.0,451.0
513.0,435.0
502.0,391.0
506.0,400.0
512.0,411.0
533.0,454.0
541.0,470.0
552.0,473.0
560.0,482.0
577.0,483.0
582.0,480.0
590.0,446.0
589.0,435.0
588.0,422.0
586.0,410.0
587.0,404.0
590.0,398.0
595.0,399.0
611.0,416.0
621.0,432.0
632.0,448.0
647.0,485.0
645.0,489.0
645.0,488.0
640.0,483.0
637.0,471.0
632.0,460.0
635.0,394.0
640.0,388.0
649.0,388.0
663.0,391.0
663.0,391.0
704.0,433.0
716.0,453.0
718.0,461.0
721.0,467.0
723.0,468.0
723.0,465.0
721.0,456.0
714.0,411.0
711.0,395.0
716.0,383.0
728.0,373.0
740.0,374.0
755.0,380.0
767.0,385.0
783.0,393.0
818.0,418.0
824.0,427.0
827.0,434.0
827.0,442.0
812.0,449.0
803.0,448.0
791.0,442.0
771.0,398.0
777.0,387.0
785.0,376.0
785.0,376.0
792.0,369.0
803.0,368.0
820.0,382.0
823.0,395.0
822.0,434.0
822.0,438.0
826.0,440.0
826.0,438.0
827.0,431.0
827.0,431.0
831.0,425.0
844.0,381.0
848.0,374.0
853.0,368.0
860.0,366.0
867.0,370.0
872.0,395.0
858.0,417.0
845.0,429.0
830.0,440.0
814.0,450.0
795.0,466.0
776.0,475.0
756.0,491.0
737.0,501.0
692.0,534.0
680.0,546.0
679.0,552.0
683.0,553.0
729.0,549.0
744.0,547.0
763.0,541.0
811.0,526.0
817.0,521.0
820.0,518.0
820.0,519.0
