x,y
492.0,404.0
493.0,412.0
493.0,419.0
500.0,429.0
500.0,429.0
507.0,446.0
507.0,446.0
530.0,469.0
539.0,469.0
546.0,455.0
546.0,455.0
547.0,431.0
547.0,431.0
549.0,386.0
551.0,372.0
551.0,372.0
556.0,374.0
570.0,407.0
580.0,425.0
580.0,425.0
592.0,442.0
610.0,452.0
619.0,436.0
619.0,436.0
622.0,412.0
622.0,412.0
624.0,385.0
624.0,362.0
631.0,370.0
631.0,370.0
639.0,390.0
639.0,390.0
648.0,413.0
668.0,448.0
675.0,446.0
675.0,446.0
682.0,435.0
682.0,435.0
683.0,414.0
683.0,372.0
690.0,367.0
690.0,367.0
700.0,369.0
700.0,369.0
724.0,404.0
733.0,424.0
740.0,442.0
740.0,442.0
743.0,451.0
743.0,451.0
745.0,446.0
745.0,446.0
747.0,430.0
746.0,390.0
755.0,380.0
755.0,380.0
766.0,378.0
778.0,389.0
778.0,389.0
793.0,422.0
794.0,433.0
794.0,433.0
795.0,438.0
795.0,438.0
796.0,431.0
797.0,396.0
803.0,383.0
803.0,383.0
841.0,378.0
868.0,393.0
896.0,406.0
896.0,406.0
920.0,424.0
920.0,424.0
932.0,449.0
922.0,452.0
904.0,445.0
904.0,445.0
885.0,435.0
885.0,435.0
872.0,420.0
868.0,388.0
876.0,377.0
876.0,377.0
899.0,376.0
908.0,390.0
914.0,405.0
914.0,405.0
920.0,422.0
920.0,422.0
922.0,440.0
918.0,437.0
918.0,437.0
915.0,423.0
912.0,402.0
912.0,402.0
912.0,369.0
920.0,365.0
920.0,365.0
926.0,366.0
926.0,366.0
932.0,373.0
929.0,394.0
918.0,404.0
918.0,404.0
905.0,412.0
882.0,424.0
882.0,424.0
832.0,450.0
809.0,464.0
790.0,476.0
790.0,476.0
777.0,504.0
780.0,512.0
780.0,512.0
785.0,514.0
785.0,514.0
795.0,510.0
803.0,485.0
800.0,465.0
800.0,465.0
793.0,450.0
793.0,450.0
780.0,432.0
778.0,430.0
781.0,430.0
781.0,430.0
783.0,432.0
