x,y
432.0,440.0
432.0,440.0
432.0,440.0
426.0,421.0
426.0,421.0
428.0,388.0
428.0,372.0
428.0,372.0
426.0,375.0
424.0,388.0
424.0,388.0
428.0,411.0
439.0,430.0
439.0,430.0
455.0,443.0
470.0,438.0
470.0,438.0
482.0,415.0
487.0,381.0
487.0,381.0
487.0,381.0
489.0,361.0
489.0,361.0
490.0,372.0
493.0,396.0
493.0,396.0
495.0,420.0
506.0,440.0
506.0,440.0
506.0,440.0
506.0,440.0
531.0,446.0
548.0,432.0
552.0,400.0
552.0,400.0
561.0,381.0
561.0,381.0
568.0,375.0
568.0,375.0
581.0,399.0
581.0,399.0
580.0,421.0
579.0,444.0
579.0,444.0
579.0,444.0
579.0,444.0
578.0,447.0
580.0,421.0
581.0,390.0
581.0,390.0
581.0,390.0
592.0,368.0
611.0,369.0
611.0,369.0
627.0,389.0
627.0,389.0
627.0,389.0
629.0,420.0
629.0,420.0
627.0,439.0
627.0,439.0
628.0,436.0
628.0,436.0
628.0,407.0
628.0,407.0
637.0,379.0
651.0,364.0
651.0,364.0
651.0,364.0
651.0,364.0
665.0,356.0
688.0,372.0
706.0,408.0
706.0,408.0
706.0,408.0
707.0,430.0
689.0,439.0
689.0,439.0
671.0,431.0
671.0,431.0
659.0,413.0
659.0,413.0
661.0,391.0
661.0,391.0
661.0,391.0
679.0,373.0
698.0,365.0
709.0,374.0
709.0,374.0
709.0,374.0
712.0,403.0
700.0,425.0
700.0,425.0
684.0,432.0
684.0,432.0
684.0,432.0
681.0,427.0
690.0,415.0
690.0,415.0
690.0,415.0
718.0,414.0
746.0,421.0
756.0,429.0
756.0,429.0
755.0,424.0
755.0,424.0
754.0,410.0
754.0,410.0
758.0,378.0
758.0,378.0
758.0,378.0
757.0,340.0
756.0,313.0
756.0,313.0
756.0,313.0
755.0,312.0
755.0,312.0
754.0,344.0
759.0,381.0
759.0,381.0
764.0,411.0
777.0,434.0
777.0,434.0
785.0,437.0
785.0,437.0
785.0,437.0
792.0,412.0
800.0,381.0
800.0,381.0
800.0,381.0
809.0,366.0
822.0,374.0
822.0,374.0
823.0,394.0
823.0,394.0
823.0,394.0
812.0,417.0
812.0,417.0
812.0,417.0
793.0,443.0
767.0,454.0
767.0,454.0
738.0,459.0
738.0,459.0
722.0,469.0
712.0,477.0
712.0,477.0
714.0,486.0
714.0,486.0
725.0,491.0
725.0,491.0
732.0,484.0
732.0,484.0
732.0,484.0
731.0,457.0
731.0,457.0
714.0,429.0
697.0,416.0
697.0,416.0
697.0,416.0
689.0,419.0
689.0,419.0
690.0,424.0
695.0,434.0
695.0,434.0
691.0,442.0
677.0,451.0
677.0,451.0
677.0,451.0
659.0,461.0
659.0,461.0
641.0,470.0
630.0,477.0
630.0,477.0
632.0,482.0
642.0,486.0
642.0,486.0
642.0,486.0
657.0,489.0
657.0,489.0
663.0,474.0
656.0,451.0
656.0,451.0
656.0,451.0
648.0,433.0
648.0,433.0
642.0,426.0
640.0,421.0
640.0,421.0
641.0,426.0
640.0,425.0
640.0,425.0
638.0,426.0
635.0,429.0
635.0,429.0
635.0,429.0
626.0,428.0
626.0,428.0
620.0,428.0
619.0,428.0
619.0,428.0
621.0,428.0
622.0,432.0
622.0,432.0
622.0,432.0
621.0,442.0
621.0,442.0
616.0,460.0
616.0,482.0
616.0,482.0
613.0,503.0
607.0,522.0
607.0,522.0
607.0,522.0
605.0,527.0
605.0,527.0
610.0,527.0
620.0,528.0
620.0,528.0
620.0,528.0
635.0,537.0
635.0,537.0
664.0,553.0
695.0,570.0
695.0,570.0
695.0,570.0
