x,y
724.0,381.0
724.0,383.0
723.0,385.0
733.0,408.0
740.0,416.0
750.0,419.0
756.0,417.0
758.0,411.0
760.0,404.0
760.0,391.0
761.0,378.0
753.0,353.0
752.0,353.0
752.0,356.0
759.0,380.0
781.0,415.0
786.0,414.0
789.0,410.0
790.0,402.0
793.0,367.0
790.0,357.0
789.0,359.0
794.0,369.0
797.0,379.0
822.0,419.0
827.0,418.0
830.0,415.0
830.0,415.0
832.0,408.0
827.0,386.0
827.0,376.0
842.0,361.0
849.0,367.0
854.0,379.0
858.0,388.0
862.0,401.0
863.0,414.0
863.0,414.0
864.0,414.0
862.0,404.0
862.0,390.0
866.0,381.0
871.0,367.0
876.0,360.0
883.0,353.0
897.0,396.0
898.0,408.0
899.0,417.0
899.0,423.0
896.0,421.0
894.0,379.0
896.0,366.0
898.0,362.0
904.0,357.0
910.0,349.0
919.0,353.0
928.0,362.0
938.0,363.0
972.0,397.0
971.0,405.0
966.0,416.0
962.0,422.0
953.0,425.0
948.0,425.0
930.0,391.0
930.0,383.0
931.0,370.0
935.0,363.0
940.0,358.0
944.0,354.0
971.0,372.0
975.0,383.0
977.0,394.0
971.0,405.0
966.0,413.0
961.0,418.0
953.0,410.0
957.0,405.0
963.0,402.0
972.0,400.0
978.0,402.0
989.0,405.0
994.0,411.0
1008.0,435.0
1007.0,437.0
1007.0,435.0
1009.0,430.0
1006.0,423.0
1005.0,413.0
1002.0,354.0
1006.0,348.0
1002.0,347.0
1002.0,348.0
1001.0,359.0
1001.0,369.0
1000.0,382.0
978.0,429.0
972.0,438.0
966.0,451.0
960.0,458.0
961.0,482.0
963.0,483.0
967.0,480.0
969.0,475.0
971.0,464.0
966.0,455.0
953.0,428.0
948.0,432.0
939.0,439.0
934.0,442.0
926.0,451.0
898.0,475.0
900.0,477.0
902.0,480.0
906.0,484.0
913.0,483.0
917.0,483.0
918.0,454.0
910.0,443.0
904.0,434.0
895.0,428.0
893.0,425.0
894.0,425.0
892.0,427.0
917.0,449.0
926.0,455.0
930.0,467.0
931.0,479.0
933.0,493.0
911.0,539.0
906.0,549.0
904.0,556.0
915.0,561.0
921.0,557.0
930.0,548.0
952.0,531.0
964.0,523.0
971.0,515.0
