x,y
438.0,410.0
438.0,410.0
438.0,410.0
438.0,395.0
443.0,372.0
443.0,372.0
443.0,372.0
445.0,350.0
445.0,350.0
444.0,348.0
444.0,348.0
443.0,368.0
443.0,368.0
447.0,389.0
447.0,389.0
447.0,389.0
462.0,409.0
482.0,415.0
482.0,415.0
502.0,401.0
502.0,401.0
509.0,372.0
509.0,351.0
509.0,351.0
511.0,350.0
515.0,371.0
515.0,371.0
515.0,371.0
515.0,392.0
515.0,392.0
515.0,392.0
529.0,413.0
547.0,419.0
547.0,419.0
565.0,403.0
565.0,403.0
576.0,371.0
585.0,349.0
585.0,349.0
604.0,351.0
604.0,351.0
626.0,359.0
626.0,359.0
652.0,382.0
652.0,382.0
652.0,382.0
667.0,403.0
667.0,403.0
657.0,421.0
636.0,425.0
636.0,425.0
612.0,419.0
600.0,402.0
600.0,402.0
602.0,377.0
602.0,377.0
602.0,377.0
616.0,355.0
633.0,339.0
633.0,339.0
646.0,347.0
659.0,376.0
659.0,376.0
659.0,376.0
655.0,399.0
655.0,399.0
652.0,406.0
652.0,403.0
652.0,403.0
652.0,403.0
657.0,379.0
657.0,379.0
664.0,359.0
671.0,347.0
671.0,347.0
671.0,347.0
676.0,358.0
676.0,358.0
683.0,382.0
686.0,403.0
686.0,403.0
690.0,411.0
692.0,408.0
692.0,408.0
690.0,393.0
691.0,368.0
691.0,368.0
682.0,350.0
684.0,367.0
684.0,367.0
684.0,367.0
685.0,381.0
685.0,381.0
689.0,402.0
696.0,421.0
696.0,421.0
706.0,429.0
721.0,427.0
721.0,427.0
737.0,406.0
745.0,384.0
745.0,384.0
745.0,384.0
752.0,364.0
752.0,364.0
764.0,352.0
777.0,360.0
777.0,360.0
774.0,383.0
767.0,410.0
767.0,410.0
744.0,440.0
713.0,458.0
713.0,458.0
671.0,463.0
633.0,466.0
633.0,466.0
601.0,470.0
591.0,477.0
591.0,477.0
591.0,477.0
593.0,477.0
593.0,477.0
601.0,478.0
614.0,483.0
614.0,483.0
614.0,483.0
626.0,494.0
626.0,494.0
633.0,504.0
636.0,508.0
636.0,508.0
642.0,501.0
650.0,493.0
650.0,493.0
650.0,493.0
665.0,480.0
665.0,480.0
675.0,472.0
677.0,467.0
677.0,467.0
678.0,468.0
677.0,467.0
677.0,467.0
677.0,467.0
672.0,466.0
672.0,466.0
672.0,456.0
664.0,431.0
664.0,431.0
664.0,431.0
659.0,395.0
659.0,395.0
650.0,355.0
648.0,324.0
648.0,324.0
648.0,324.0
643.0,301.0
643.0,301.0
635.0,289.0
636.0,295.0
636.0,295.0
636.0,295.0
644.0,298.0
644.0,298.0
643.0,293.0
637.0,291.0
637.0,291.0
637.0,289.0
641.0,282.0
641.0,282.0
