x,y
532.0,423.0
530.0,419.0
530.0,419.0
528.0,388.0
529.0,366.0
529.0,366.0
523.0,345.0
520.0,334.0
520.0,334.0
528.0,346.0
536.0,362.0
536.0,362.0
544.0,382.0
558.0,401.0
558.0,401.0
581.0,416.0
585.0,408.0
585.0,408.0
587.0,386.0
584.0,359.0
584.0,359.0
575.0,327.0
580.0,333.0
589.0,352.0
589.0,352.0
602.0,374.0
602.0,374.0
642.0,417.0
658.0,423.0
658.0,423.0
665.0,416.0
666.0,396.0
666.0,396.0
665.0,344.0
672.0,331.0
672.0,331.0
689.0,328.0
689.0,328.0
716.0,333.0
780.0,366.0
800.0,384.0
800.0,384.0
808.0,401.0
805.0,411.0
805.0,411.0
781.0,403.0
768.0,384.0
759.0,358.0
759.0,358.0
759.0,333.0
789.0,305.0
789.0,305.0
803.0,304.0
805.0,300.0
805.0,300.0
789.0,286.0
782.0,278.0
782.0,278.0
778.0,273.0
778.0,273.0
778.0,271.0
