x,y
692.0,529.0
695.0,504.0
695.0,492.0
696.0,480.0
697.0,471.0
698.0,463.0
699.0,461.0
701.0,489.0
705.0,498.0
710.0,509.0
717.0,518.0
724.0,523.0
730.0,524.0
733.0,522.0
734.0,486.0
736.0,474.0
735.0,467.0
734.0,468.0
733.0,470.0
733.0,476.0
733.0,486.0
763.0,528.0
771.0,528.0
774.0,531.0
777.0,526.0
779.0,518.0
776.0,509.0
774.0,499.0
788.0,466.0
797.0,467.0
811.0,473.0
823.0,480.0
833.0,492.0
840.0,501.0
832.0,527.0
825.0,526.0
820.0,521.0
818.0,512.0
814.0,502.0
814.0,490.0
841.0,474.0
849.0,481.0
855.0,485.0
860.0,497.0
867.0,510.0
878.0,531.0
878.0,525.0
876.0,515.0
873.0,502.0
877.0,490.0
878.0,481.0
881.0,484.0
882.0,494.0
892.0,513.0
899.0,522.0
908.0,525.0
922.0,514.0
919.0,503.0
920.0,494.0
918.0,483.0
919.0,477.0
923.0,487.0
925.0,497.0
927.0,507.0
929.0,516.0
958.0,539.0
965.0,536.0
969.0,534.0
970.0,526.0
969.0,517.0
971.0,481.0
976.0,474.0
983.0,472.0
1007.0,483.0
1006.0,489.0
1003.0,491.0
955.0,517.0
936.0,526.0
916.0,530.0
896.0,536.0
815.0,542.0
802.0,544.0
791.0,545.0
786.0,547.0
790.0,548.0
798.0,556.0
804.0,562.0
837.0,579.0
844.0,579.0
851.0,572.0
882.0,551.0
887.0,550.0
887.0,552.0
888.0,558.0
868.0,589.0
863.0,600.0
856.0,606.0
855.0,614.0
853.0,619.0
853.0,621.0
879.0,607.0
891.0,602.0
902.0,595.0
916.0,590.0
925.0,586.0
930.0,583.0
