x,y
638.0,530.0
641.0,533.0
639.0,542.0
645.0,547.0
661.0,564.0
664.0,559.0
668.0,552.0
663.0,544.0
669.0,522.0
658.0,480.0
657.0,474.0
653.0,473.0
654.0,473.0
657.0,473.0
673.0,513.0
682.0,523.0
686.0,536.0
694.0,547.0
702.0,547.0
706.0,557.0
721.0,534.0
723.0,519.0
720.0,509.0
719.0,495.0
714.0,481.0
707.0,453.0
709.0,457.0
714.0,460.0
717.0,468.0
721.0,485.0
746.0,528.0
752.0,538.0
759.0,539.0
764.0,539.0
771.0,537.0
773.0,531.0
773.0,493.0
771.0,479.0
771.0,469.0
773.0,461.0
776.0,454.0
782.0,453.0
825.0,476.0
838.0,489.0
849.0,502.0
857.0,514.0
863.0,526.0
856.0,550.0
851.0,548.0
843.0,540.0
834.0,523.0
834.0,523.0
834.0,506.0
834.0,506.0
842.0,486.0
877.0,469.0
895.0,476.0
895.0,476.0
911.0,491.0
911.0,491.0
925.0,514.0
948.0,562.0
954.0,583.0
954.0,583.0
958.0,600.0
958.0,600.0
956.0,608.0
952.0,601.0
952.0,601.0
954.0,564.0
953.0,533.0
956.0,508.0
980.0,466.0
980.0,466.0
1003.0,463.0
1003.0,463.0
1026.0,476.0
1024.0,485.0
1012.0,494.0
1012.0,494.0
994.0,503.0
994.0,503.0
955.0,528.0
936.0,540.0
936.0,540.0
922.0,550.0
913.0,555.0
913.0,555.0
921.0,559.0
936.0,557.0
953.0,554.0
953.0,554.0
989.0,553.0
1003.0,555.0
1006.0,558.0
1006.0,558.0
1000.0,557.0
1000.0,557.0
959.0,562.0
931.0,565.0
931.0,565.0
904.0,567.0
853.0,571.0
832.0,568.0
832.0,568.0
809.0,569.0
809.0,569.0
795.0,571.0
787.0,580.0
790.0,591.0
790.0,591.0
816.0,613.0
826.0,626.0
837.0,627.0
837.0,627.0
863.0,619.0
876.0,610.0
885.0,606.0
885.0,606.0
891.0,601.0
891.0,601.0
863.0,572.0
847.0,541.0
847.0,541.0
831.0,510.0
831.0,510.0
815.0,448.0
808.0,432.0
808.0,432.0
808.0,428.0
810.0,432.0
810.0,432.0
