x,y
422.0,376.0
422.0,376.0
423.0,370.0
423.0,349.0
423.0,349.0
427.0,317.0
427.0,317.0
427.0,317.0
426.0,302.0
426.0,302.0
429.0,317.0
433.0,337.0
433.0,337.0
450.0,363.0
461.0,369.0
461.0,369.0
461.0,369.0
472.0,357.0
472.0,357.0
480.0,322.0
485.0,292.0
485.0,292.0
487.0,305.0
489.0,335.0
489.0,335.0
489.0,335.0
502.0,358.0
502.0,358.0
520.0,369.0
536.0,363.0
536.0,363.0
536.0,363.0
542.0,329.0
542.0,329.0
554.0,299.0
595.0,295.0
595.0,295.0
617.0,310.0
650.0,349.0
650.0,349.0
652.0,374.0
634.0,386.0
634.0,386.0
634.0,386.0
605.0,381.0
605.0,381.0
585.0,363.0
572.0,338.0
572.0,338.0
572.0,338.0
575.0,311.0
575.0,311.0
587.0,281.0
611.0,281.0
611.0,281.0
611.0,281.0
635.0,289.0
635.0,289.0
650.0,319.0
647.0,349.0
647.0,349.0
634.0,367.0
625.0,369.0
625.0,369.0
625.0,369.0
621.0,365.0
621.0,365.0
629.0,356.0
658.0,355.0
658.0,355.0
687.0,364.0
691.0,369.0
691.0,369.0
691.0,369.0
691.0,365.0
691.0,365.0
689.0,353.0
693.0,329.0
693.0,329.0
693.0,329.0
694.0,303.0
694.0,303.0
692.0,300.0
693.0,323.0
693.0,323.0
693.0,323.0
698.0,343.0
698.0,343.0
707.0,363.0
722.0,376.0
722.0,376.0
722.0,376.0
737.0,373.0
737.0,373.0
743.0,346.0
750.0,318.0
750.0,318.0
759.0,301.0
771.0,308.0
771.0,308.0
771.0,308.0
771.0,308.0
785.0,314.0
808.0,323.0
832.0,344.0
832.0,344.0
832.0,344.0
838.0,369.0
830.0,386.0
830.0,386.0
815.0,388.0
815.0,388.0
801.0,380.0
791.0,365.0
791.0,365.0
791.0,365.0
791.0,365.0
785.0,342.0
792.0,319.0
805.0,306.0
805.0,306.0
820.0,317.0
820.0,317.0
825.0,339.0
825.0,339.0
825.0,363.0
825.0,363.0
828.0,377.0
827.0,378.0
827.0,378.0
823.0,360.0
826.0,334.0
826.0,334.0
826.0,334.0
823.0,294.0
823.0,294.0
836.0,267.0
836.0,267.0
838.0,234.0
838.0,234.0
819.0,214.0
819.0,214.0
790.0,222.0
790.0,222.0
787.0,250.0
787.0,250.0
787.0,250.0
800.0,280.0
800.0,280.0
814.0,294.0
835.0,306.0
835.0,306.0
835.0,306.0
858.0,325.0
858.0,325.0
858.0,325.0
873.0,344.0
884.0,368.0
890.0,391.0
890.0,391.0
890.0,391.0
875.0,418.0
841.0,431.0
841.0,431.0
796.0,437.0
796.0,437.0
796.0,437.0
748.0,437.0
700.0,441.0
700.0,441.0
700.0,441.0
656.0,437.0
622.0,431.0
600.0,430.0
600.0,430.0
592.0,429.0
592.0,429.0
602.0,434.0
602.0,434.0
613.0,442.0
613.0,442.0
613.0,442.0
626.0,452.0
636.0,460.0
636.0,460.0
636.0,460.0
640.0,457.0
640.0,457.0
649.0,443.0
660.0,425.0
660.0,425.0
666.0,418.0
667.0,425.0
667.0,425.0
664.0,442.0
664.0,442.0
664.0,442.0
661.0,463.0
658.0,491.0
658.0,491.0
658.0,491.0
652.0,520.0
640.0,543.0
640.0,543.0
633.0,553.0
633.0,553.0
633.0,553.0
633.0,553.0
633.0,553.0
633.0,553.0
642.0,546.0
657.0,536.0
657.0,536.0
674.0,523.0
674.0,523.0
695.0,510.0
710.0,499.0
710.0,499.0
