x,y
724.0,452.0
723.0,461.0
731.0,469.0
740.0,488.0
745.0,496.0
752.0,498.0
761.0,465.0
760.0,451.0
758.0,443.0
755.0,436.0
754.0,433.0
754.0,433.0
753.0,441.0
773.0,480.0
780.0,486.0
788.0,487.0
790.0,488.0
794.0,481.0
795.0,473.0
795.0,465.0
786.0,433.0
787.0,434.0
784.0,438.0
786.0,447.0
815.0,492.0
824.0,495.0
833.0,495.0
835.0,491.0
839.0,484.0
840.0,476.0
842.0,437.0
849.0,434.0
858.0,436.0
865.0,441.0
876.0,445.0
890.0,452.0
928.0,482.0
930.0,489.0
932.0,496.0
930.0,503.0
925.0,510.0
897.0,492.0
892.0,483.0
889.0,474.0
886.0,465.0
887.0,453.0
889.0,445.0
895.0,439.0
923.0,443.0
929.0,452.0
933.0,463.0
933.0,474.0
934.0,486.0
931.0,499.0
926.0,508.0
911.0,547.0
914.0,555.0
916.0,563.0
920.0,566.0
926.0,565.0
933.0,541.0
931.0,534.0
925.0,525.0
922.0,521.0
918.0,521.0
915.0,524.0
910.0,530.0
885.0,566.0
881.0,577.0
877.0,588.0
872.0,595.0
871.0,605.0
883.0,607.0
892.0,600.0
901.0,592.0
913.0,586.0
926.0,580.0
940.0,574.0
964.0,557.0
