x,y
539.0,535.0
538.0,538.0
536.0,535.0
539.0,527.0
535.0,524.0
540.0,515.0
548.0,465.0
547.0,460.0
547.0,458.0
548.0,458.0
546.0,461.0
554.0,500.0
558.0,510.0
566.0,516.0
572.0,529.0
577.0,534.0
601.0,517.0
604.0,508.0
602.0,493.0
600.0,486.0
598.0,470.0
595.0,463.0
597.0,461.0
632.0,483.0
649.0,498.0
661.0,512.0
672.0,521.0
683.0,531.0
690.0,538.0
694.0,542.0
688.0,539.0
679.0,532.0
671.0,528.0
661.0,522.0
653.0,512.0
648.0,505.0
646.0,495.0
664.0,475.0
673.0,477.0
680.0,483.0
686.0,492.0
687.0,503.0
688.0,514.0
688.0,541.0
686.0,539.0
685.0,530.0
683.0,520.0
683.0,510.0
683.0,494.0
683.0,478.0
680.0,410.0
680.0,396.0
681.0,391.0
681.0,391.0
681.0,395.0
685.0,405.0
689.0,421.0
693.0,434.0
721.0,516.0
729.0,533.0
733.0,554.0
737.0,570.0
740.0,585.0
740.0,595.0
739.0,602.0
732.0,594.0
731.0,584.0
731.0,574.0
732.0,560.0
735.0,544.0
730.0,524.0
729.0,509.0
726.0,484.0
729.0,490.0
731.0,498.0
732.0,507.0
741.0,515.0
745.0,530.0
765.0,527.0
766.0,517.0
764.0,493.0
766.0,479.0
766.0,479.0
770.0,470.0
821.0,479.0
834.0,488.0
849.0,498.0
856.0,512.0
863.0,520.0
857.0,531.0
851.0,531.0
840.0,524.0
814.0,499.0
811.0,486.0
814.0,476.0
819.0,467.0
838.0,455.0
857.0,454.0
864.0,457.0
