x,y
731.0,533.0
735.0,530.0
735.0,530.0
733.0,490.0
733.0,473.0
733.0,472.0
733.0,473.0
731.0,479.0
734.0,487.0
745.0,510.0
755.0,516.0
759.0,521.0
764.0,521.0
766.0,495.0
768.0,488.0
766.0,483.0
770.0,482.0
774.0,482.0
779.0,483.0
779.0,483.0
820.0,511.0
826.0,520.0
827.0,526.0
825.0,531.0
820.0,533.0
800.0,525.0
795.0,517.0
793.0,510.0
794.0,493.0
796.0,488.0
799.0,483.0
824.0,499.0
827.0,505.0
828.0,512.0
830.0,516.0
830.0,516.0
830.0,519.0
825.0,475.0
822.0,460.0
826.0,448.0
824.0,435.0
822.0,423.0
806.0,387.0
802.0,384.0
802.0,380.0
803.0,388.0
799.0,393.0
823.0,466.0
836.0,486.0
841.0,505.0
845.0,526.0
853.0,549.0
876.0,617.0
880.0,629.0
883.0,639.0
885.0,645.0
883.0,644.0
880.0,641.0
864.0,587.0
859.0,570.0
855.0,554.0
854.0,530.0
851.0,510.0
845.0,477.0
846.0,481.0
850.0,490.0
854.0,501.0
859.0,512.0
867.0,523.0
891.0,537.0
892.0,531.0
894.0,522.0
890.0,513.0
886.0,502.0
898.0,493.0
904.0,500.0
908.0,508.0
912.0,517.0
915.0,525.0
917.0,525.0
917.0,519.0
915.0,509.0
916.0,502.0
915.0,492.0
916.0,484.0
927.0,475.0
928.0,479.0
932.0,482.0
935.0,483.0
936.0,490.0
937.0,496.0
930.0,528.0
925.0,538.0
920.0,543.0
897.0,568.0
895.0,573.0
897.0,579.0
900.0,582.0
904.0,585.0
909.0,587.0
917.0,582.0
938.0,565.0
943.0,561.0
948.0,559.0
953.0,559.0
956.0,561.0
960.0,563.0
