x,y
489.0,566.0
490.0,567.0
492.0,568.0
496.0,529.0
500.0,519.0
507.0,505.0
502.0,503.0
499.0,493.0
501.0,480.0
504.0,484.0
509.0,502.0
511.0,514.0
511.0,514.0
510.0,527.0
531.0,564.0
540.0,564.0
547.0,564.0
549.0,558.0
551.0,547.0
547.0,503.0
548.0,494.0
550.0,486.0
554.0,481.0
558.0,484.0
583.0,509.0
600.0,529.0
608.0,538.0
617.0,544.0
617.0,544.0
624.0,551.0
635.0,562.0
632.0,564.0
625.0,559.0
620.0,549.0
601.0,545.0
597.0,530.0
589.0,525.0
587.0,513.0
583.0,482.0
592.0,478.0
603.0,480.0
614.0,486.0
624.0,494.0
633.0,515.0
633.0,529.0
638.0,555.0
639.0,552.0
639.0,548.0
638.0,540.0
640.0,527.0
641.0,505.0
642.0,494.0
644.0,457.0
645.0,438.0
644.0,417.0
635.0,378.0
634.0,378.0
627.0,381.0
624.0,386.0
621.0,394.0
620.0,402.0
649.0,480.0
655.0,496.0
661.0,508.0
661.0,508.0
663.0,521.0
666.0,544.0
662.0,533.0
661.0,518.0
662.0,508.0
666.0,499.0
671.0,491.0
673.0,482.0
691.0,484.0
697.0,496.0
704.0,504.0
711.0,525.0
713.0,533.0
713.0,538.0
716.0,543.0
715.0,537.0
713.0,511.0
713.0,500.0
712.0,491.0
715.0,481.0
724.0,470.0
730.0,472.0
738.0,479.0
745.0,488.0
756.0,497.0
802.0,539.0
802.0,539.0
811.0,546.0
818.0,552.0
815.0,552.0
807.0,551.0
768.0,516.0
766.0,506.0
768.0,493.0
768.0,478.0
768.0,478.0
775.0,471.0
783.0,463.0
831.0,480.0
837.0,492.0
838.0,501.0
841.0,515.0
842.0,526.0
840.0,536.0
836.0,546.0
836.0,546.0
811.0,558.0
811.0,555.0
813.0,550.0
820.0,545.0
829.0,542.0
841.0,542.0
878.0,546.0
893.0,553.0
899.0,556.0
899.0,556.0
898.0,556.0
895.0,551.0
891.0,548.0
889.0,537.0
886.0,525.0
902.0,472.0
908.0,463.0
913.0,458.0
917.0,460.0
917.0,464.0
915.0,468.0
901.0,510.0
904.0,525.0
905.0,538.0
903.0,552.0
903.0,563.0
897.0,570.0
895.0,576.0
857.0,567.0
847.0,565.0
841.0,564.0
831.0,564.0
825.0,570.0
819.0,572.0
818.0,580.0
815.0,583.0
816.0,586.0
819.0,582.0
825.0,579.0
826.0,574.0
826.0,567.0
827.0,562.0
826.0,556.0
804.0,539.0
798.0,536.0
789.0,537.0
778.0,542.0
765.0,547.0
752.0,549.0
702.0,569.0
693.0,571.0
687.0,578.0
683.0,585.0
684.0,591.0
690.0,596.0
691.0,599.0
698.0,600.0
716.0,597.0
717.0,586.0
718.0,574.0
717.0,564.0
716.0,558.0
715.0,547.0
713.0,540.0
714.0,529.0
717.0,534.0
721.0,537.0
725.0,545.0
730.0,553.0
737.0,566.0
740.0,577.0
732.0,614.0
727.0,622.0
717.0,627.0
712.0,632.0
710.0,635.0
710.0,635.0
718.0,641.0
759.0,634.0
772.0,632.0
786.0,629.0
799.0,626.0
812.0,624.0
822.0,620.0
846.0,612.0
845.0,613.0
