x,y
479.0,494.0
480.0,492.0
479.0,480.0
479.0,473.0
480.0,463.0
478.0,450.0
481.0,440.0
479.0,426.0
482.0,416.0
485.0,422.0
490.0,435.0
495.0,447.0
498.0,457.0
522.0,481.0
526.0,478.0
529.0,469.0
532.0,461.0
535.0,450.0
538.0,413.0
540.0,409.0
544.0,404.0
548.0,405.0
584.0,432.0
599.0,439.0
613.0,446.0
626.0,454.0
640.0,457.0
670.0,460.0
670.0,463.0
666.0,467.0
659.0,467.0
651.0,469.0
644.0,469.0
633.0,467.0
624.0,465.0
600.0,438.0
598.0,430.0
598.0,420.0
602.0,413.0
607.0,404.0
613.0,399.0
622.0,395.0
659.0,415.0
663.0,422.0
669.0,434.0
673.0,442.0
675.0,452.0
669.0,441.0
668.0,428.0
669.0,414.0
668.0,399.0
666.0,383.0
668.0,368.0
667.0,355.0
663.0,342.0
645.0,320.0
644.0,321.0
643.0,328.0
641.0,335.0
641.0,341.0
646.0,356.0
676.0,404.0
689.0,415.0
699.0,425.0
711.0,435.0
723.0,444.0
736.0,452.0
745.0,458.0
772.0,465.0
771.0,465.0
768.0,467.0
760.0,465.0
748.0,467.0
738.0,466.0
725.0,462.0
717.0,458.0
707.0,413.0
712.0,403.0
716.0,396.0
724.0,388.0
733.0,389.0
769.0,424.0
774.0,436.0
778.0,449.0
779.0,467.0
779.0,467.0
779.0,466.0
777.0,463.0
772.0,416.0
773.0,403.0
777.0,393.0
783.0,387.0
789.0,387.0
807.0,399.0
815.0,410.0
815.0,410.0
837.0,457.0
841.0,465.0
846.0,470.0
848.0,467.0
849.0,461.0
850.0,453.0
849.0,429.0
842.0,395.0
840.0,389.0
838.0,387.0
839.0,394.0
840.0,403.0
844.0,410.0
847.0,423.0
850.0,437.0
876.0,465.0
880.0,461.0
885.0,457.0
889.0,451.0
891.0,441.0
891.0,428.0
890.0,413.0
889.0,399.0
890.0,384.0
899.0,397.0
899.0,397.0
889.0,413.0
874.0,426.0
781.0,467.0
755.0,476.0
716.0,493.0
697.0,501.0
682.0,510.0
670.0,517.0
662.0,525.0
657.0,535.0
664.0,535.0
669.0,535.0
676.0,532.0
699.0,519.0
712.0,515.0
729.0,509.0
745.0,509.0
798.0,513.0
814.0,519.0
825.0,525.0
836.0,534.0
842.0,540.0
843.0,547.0
839.0,551.0
833.0,548.0
798.0,532.0
785.0,525.0
772.0,523.0
761.0,521.0
753.0,522.0
750.0,524.0
753.0,539.0
793.0,581.0
800.0,591.0
809.0,599.0
809.0,599.0
