x,y
522.0,472.0
527.0,473.0
527.0,473.0
549.0,499.0
553.0,513.0
553.0,520.0
553.0,520.0
553.0,499.0
553.0,481.0
555.0,451.0
555.0,451.0
555.0,458.0
563.0,483.0
578.0,514.0
588.0,527.0
588.0,527.0
617.0,529.0
626.0,519.0
634.0,481.0
634.0,481.0
641.0,451.0
650.0,448.0
650.0,448.0
669.0,457.0
680.0,467.0
699.0,486.0
699.0,486.0
713.0,509.0
704.0,525.0
693.0,527.0
693.0,527.0
668.0,516.0
661.0,490.0
662.0,471.0
662.0,471.0
675.0,442.0
688.0,435.0
696.0,443.0
696.0,443.0
706.0,474.0
706.0,509.0
706.0,517.0
706.0,517.0
705.0,512.0
713.0,486.0
714.0,446.0
714.0,425.0
714.0,425.0
718.0,391.0
724.0,354.0
716.0,344.0
704.0,343.0
693.0,357.0
685.0,392.0
687.0,409.0
696.0,425.0
706.0,440.0
706.0,440.0
743.0,494.0
743.0,494.0
767.0,511.0
767.0,511.0
772.0,519.0
777.0,527.0
775.0,528.0
775.0,528.0
770.0,529.0
762.0,529.0
745.0,526.0
734.0,520.0
731.0,512.0
730.0,498.0
754.0,458.0
768.0,446.0
768.0,446.0
793.0,450.0
799.0,458.0
804.0,482.0
804.0,482.0
797.0,508.0
788.0,515.0
772.0,518.0
778.0,514.0
778.0,514.0
811.0,518.0
838.0,537.0
841.0,559.0
836.0,565.0
836.0,565.0
832.0,574.0
831.0,566.0
834.0,556.0
834.0,556.0
837.0,528.0
839.0,507.0
840.0,492.0
847.0,477.0
855.0,467.0
875.0,463.0
875.0,463.0
880.0,476.0
877.0,491.0
858.0,517.0
858.0,517.0
830.0,535.0
818.0,539.0
818.0,539.0
813.0,541.0
824.0,537.0
834.0,539.0
834.0,539.0
860.0,540.0
870.0,542.0
866.0,544.0
866.0,544.0
846.0,537.0
836.0,527.0
819.0,491.0
819.0,491.0
807.0,449.0
798.0,426.0
798.0,426.0
794.0,392.0
792.0,378.0
792.0,378.0
792.0,380.0
786.0,390.0
786.0,391.0
