x,y
515.0,449.0
516.0,445.0
515.0,433.0
515.0,426.0
516.0,413.0
518.0,396.0
517.0,386.0
517.0,377.0
519.0,384.0
521.0,393.0
520.0,403.0
522.0,415.0
530.0,425.0
535.0,435.0
565.0,442.0
569.0,435.0
571.0,424.0
568.0,411.0
568.0,399.0
569.0,387.0
572.0,380.0
584.0,390.0
592.0,401.0
600.0,415.0
611.0,426.0
627.0,435.0
644.0,437.0
653.0,441.0
663.0,440.0
658.0,443.0
646.0,445.0
637.0,447.0
622.0,447.0
612.0,440.0
606.0,433.0
602.0,423.0
609.0,387.0
616.0,380.0
628.0,376.0
639.0,381.0
651.0,390.0
658.0,402.0
661.0,417.0
660.0,435.0
662.0,422.0
662.0,411.0
665.0,395.0
667.0,379.0
673.0,359.0
672.0,293.0
673.0,280.0
668.0,261.0
659.0,262.0
652.0,259.0
631.0,270.0
626.0,284.0
625.0,296.0
656.0,363.0
669.0,379.0
679.0,393.0
694.0,406.0
711.0,418.0
723.0,426.0
735.0,433.0
750.0,449.0
743.0,452.0
735.0,449.0
726.0,440.0
718.0,432.0
712.0,421.0
710.0,407.0
742.0,366.0
754.0,363.0
766.0,371.0
775.0,376.0
783.0,389.0
787.0,402.0
784.0,417.0
778.0,429.0
740.0,439.0
735.0,432.0
736.0,426.0
743.0,419.0
753.0,413.0
766.0,414.0
827.0,433.0
839.0,440.0
843.0,448.0
846.0,455.0
847.0,455.0
846.0,452.0
846.0,441.0
843.0,432.0
839.0,382.0
843.0,373.0
850.0,367.0
854.0,368.0
861.0,368.0
872.0,373.0
880.0,374.0
897.0,386.0
896.0,392.0
890.0,401.0
882.0,413.0
875.0,424.0
867.0,436.0
861.0,449.0
841.0,494.0
840.0,501.0
837.0,503.0
830.0,501.0
824.0,495.0
814.0,487.0
801.0,482.0
786.0,477.0
717.0,477.0
702.0,478.0
690.0,477.0
685.0,476.0
680.0,479.0
680.0,481.0
701.0,512.0
708.0,519.0
711.0,523.0
718.0,525.0
722.0,523.0
727.0,519.0
733.0,513.0
772.0,500.0
780.0,501.0
787.0,500.0
788.0,498.0
788.0,500.0
782.0,505.0
775.0,512.0
767.0,519.0
745.0,557.0
744.0,563.0
747.0,567.0
751.0,570.0
760.0,570.0
805.0,554.0
819.0,550.0
832.0,544.0
843.0,541.0
