x,y
490.0,439.0
487.0,433.0
484.0,423.0
482.0,408.0
486.0,386.0
486.0,348.0
483.0,352.0
483.0,360.0
487.0,370.0
491.0,394.0
495.0,407.0
518.0,425.0
521.0,419.0
525.0,406.0
527.0,394.0
527.0,376.0
527.0,362.0
526.0,349.0
544.0,342.0
552.0,356.0
568.0,376.0
579.0,394.0
589.0,416.0
602.0,438.0
615.0,454.0
649.0,533.0
656.0,552.0
659.0,566.0
659.0,578.0
659.0,590.0
651.0,601.0
645.0,600.0
639.0,601.0
635.0,587.0
629.0,571.0
627.0,562.0
620.0,485.0
617.0,467.0
619.0,444.0
620.0,422.0
618.0,403.0
621.0,383.0
623.0,374.0
623.0,368.0
623.0,376.0
622.0,388.0
619.0,401.0
621.0,414.0
625.0,424.0
655.0,442.0
659.0,443.0
664.0,434.0
663.0,417.0
658.0,407.0
656.0,373.0
660.0,371.0
662.0,370.0
675.0,374.0
675.0,374.0
702.0,401.0
712.0,407.0
722.0,414.0
733.0,419.0
744.0,420.0
755.0,424.0
760.0,425.0
756.0,432.0
748.0,435.0
737.0,434.0
728.0,435.0
721.0,433.0
712.0,428.0
709.0,421.0
708.0,411.0
706.0,406.0
712.0,371.0
717.0,363.0
725.0,364.0
742.0,366.0
771.0,401.0
771.0,421.0
771.0,428.0
769.0,429.0
769.0,429.0
768.0,402.0
769.0,393.0
773.0,384.0
775.0,376.0
806.0,375.0
809.0,385.0
809.0,385.0
809.0,394.0
807.0,406.0
780.0,460.0
771.0,473.0
755.0,497.0
743.0,509.0
736.0,516.0
732.0,522.0
732.0,532.0
736.0,533.0
745.0,531.0
755.0,531.0
764.0,528.0
787.0,521.0
797.0,516.0
807.0,513.0
827.0,508.0
826.0,513.0
