x,y
701.0,382.0
702.0,376.0
704.0,332.0
706.0,317.0
704.0,307.0
711.0,306.0
713.0,311.0
715.0,321.0
719.0,332.0
740.0,371.0
748.0,373.0
752.0,370.0
751.0,325.0
753.0,317.0
755.0,312.0
760.0,310.0
786.0,348.0
793.0,361.0
800.0,379.0
810.0,401.0
842.0,485.0
843.0,501.0
843.0,512.0
840.0,516.0
827.0,488.0
822.0,476.0
819.0,459.0
809.0,388.0
808.0,369.0
802.0,357.0
801.0,347.0
800.0,352.0
805.0,364.0
811.0,376.0
817.0,390.0
835.0,399.0
833.0,391.0
833.0,381.0
832.0,369.0
840.0,341.0
846.0,343.0
853.0,342.0
862.0,348.0
878.0,357.0
898.0,383.0
900.0,397.0
898.0,405.0
877.0,406.0
874.0,399.0
872.0,384.0
872.0,357.0
873.0,348.0
878.0,343.0
884.0,344.0
902.0,371.0
903.0,393.0
902.0,400.0
902.0,399.0
902.0,382.0
900.0,368.0
906.0,360.0
908.0,349.0
913.0,348.0
940.0,368.0
945.0,391.0
948.0,401.0
949.0,393.0
949.0,385.0
946.0,362.0
947.0,350.0
947.0,350.0
946.0,352.0
955.0,388.0
958.0,393.0
971.0,403.0
974.0,405.0
978.0,408.0
986.0,393.0
981.0,385.0
984.0,378.0
982.0,369.0
998.0,346.0
1001.0,348.0
1007.0,348.0
1013.0,362.0
1012.0,365.0
1009.0,371.0
996.0,378.0
990.0,384.0
934.0,413.0
921.0,419.0
912.0,425.0
901.0,430.0
877.0,446.0
869.0,448.0
860.0,453.0
858.0,453.0
860.0,453.0
858.0,449.0
883.0,431.0
883.0,431.0
893.0,428.0
901.0,428.0
910.0,428.0
949.0,452.0
954.0,456.0
957.0,461.0
956.0,461.0
943.0,457.0
938.0,455.0
926.0,455.0
922.0,458.0
909.0,476.0
913.0,481.0
916.0,487.0
935.0,490.0
950.0,484.0
957.0,478.0
962.0,474.0
985.0,479.0
991.0,483.0
991.0,487.0
992.0,491.0
