x,y
675.0,465.0
676.0,462.0
677.0,429.0
674.0,415.0
674.0,391.0
676.0,394.0
675.0,403.0
690.0,445.0
690.0,445.0
710.0,457.0
711.0,439.0
713.0,423.0
713.0,411.0
715.0,401.0
718.0,399.0
739.0,432.0
750.0,451.0
756.0,473.0
764.0,499.0
797.0,595.0
797.0,608.0
796.0,617.0
792.0,616.0
791.0,604.0
787.0,591.0
780.0,553.0
768.0,465.0
764.0,445.0
762.0,428.0
759.0,410.0
762.0,413.0
766.0,429.0
767.0,441.0
774.0,452.0
798.0,475.0
802.0,472.0
798.0,447.0
799.0,426.0
801.0,421.0
805.0,415.0
812.0,412.0
850.0,426.0
862.0,434.0
869.0,446.0
875.0,452.0
866.0,475.0
859.0,474.0
850.0,469.0
843.0,461.0
831.0,427.0
833.0,420.0
837.0,415.0
842.0,410.0
852.0,409.0
884.0,418.0
884.0,419.0
880.0,418.0
875.0,417.0
842.0,396.0
832.0,386.0
826.0,373.0
807.0,356.0
808.0,354.0
806.0,356.0
805.0,356.0
