x,y
708.0,443.0
710.0,439.0
712.0,434.0
712.0,392.0
712.0,387.0
711.0,387.0
711.0,390.0
723.0,430.0
729.0,440.0
736.0,448.0
743.0,452.0
749.0,428.0
746.0,417.0
746.0,409.0
766.0,405.0
774.0,412.0
782.0,421.0
793.0,428.0
806.0,442.0
804.0,461.0
801.0,462.0
795.0,462.0
774.0,434.0
778.0,410.0
783.0,406.0
800.0,409.0
807.0,418.0
810.0,429.0
808.0,457.0
808.0,447.0
808.0,437.0
810.0,429.0
810.0,429.0
823.0,408.0
829.0,410.0
837.0,415.0
842.0,420.0
850.0,461.0
849.0,462.0
849.0,462.0
844.0,429.0
848.0,418.0
848.0,407.0
851.0,403.0
857.0,409.0
863.0,416.0
874.0,446.0
875.0,455.0
877.0,462.0
872.0,445.0
873.0,419.0
873.0,403.0
874.0,388.0
872.0,372.0
868.0,323.0
866.0,306.0
863.0,297.0
861.0,292.0
851.0,317.0
851.0,325.0
865.0,368.0
871.0,377.0
880.0,386.0
884.0,396.0
901.0,409.0
898.0,430.0
889.0,437.0
878.0,444.0
841.0,470.0
830.0,481.0
806.0,496.0
795.0,505.0
777.0,518.0
780.0,518.0
783.0,515.0
809.0,507.0
833.0,502.0
841.0,498.0
850.0,495.0
863.0,497.0
861.0,497.0
