x,y
779.0,454.0
778.0,463.0
777.0,459.0
777.0,459.0
777.0,447.0
777.0,447.0
779.0,410.0
781.0,398.0
781.0,400.0
781.0,400.0
781.0,418.0
781.0,418.0
787.0,434.0
807.0,450.0
814.0,442.0
814.0,442.0
813.0,428.0
813.0,428.0
814.0,412.0
825.0,402.0
836.0,408.0
836.0,408.0
855.0,421.0
855.0,421.0
870.0,436.0
870.0,436.0
877.0,454.0
864.0,463.0
853.0,453.0
853.0,453.0
853.0,420.0
864.0,410.0
877.0,408.0
877.0,408.0
894.0,423.0
894.0,423.0
902.0,443.0
920.0,465.0
920.0,451.0
920.0,451.0
919.0,433.0
919.0,433.0
917.0,414.0
917.0,414.0
916.0,410.0
926.0,439.0
939.0,458.0
939.0,458.0
954.0,467.0
954.0,467.0
963.0,466.0
966.0,440.0
967.0,424.0
967.0,424.0
972.0,410.0
972.0,410.0
1000.0,408.0
1006.0,415.0
1006.0,428.0
1006.0,428.0
993.0,438.0
993.0,438.0
970.0,451.0
912.0,475.0
883.0,481.0
883.0,481.0
858.0,486.0
858.0,486.0
841.0,486.0
834.0,489.0
834.0,489.0
861.0,522.0
861.0,522.0
876.0,531.0
893.0,530.0
893.0,530.0
923.0,505.0
928.0,498.0
