x,y
574.0,413.0
577.0,418.0
577.0,418.0
585.0,432.0
585.0,432.0
593.0,449.0
607.0,443.0
606.0,424.0
606.0,424.0
605.0,401.0
605.0,401.0
601.0,383.0
602.0,379.0
608.0,394.0
608.0,394.0
619.0,416.0
619.0,416.0
629.0,435.0
646.0,439.0
648.0,432.0
648.0,432.0
649.0,418.0
649.0,418.0
643.0,387.0
645.0,380.0
653.0,380.0
653.0,380.0
662.0,389.0
662.0,389.0
698.0,416.0
717.0,424.0
726.0,430.0
726.0,430.0
722.0,431.0
722.0,431.0
715.0,431.0
689.0,417.0
680.0,401.0
680.0,401.0
680.0,386.0
691.0,363.0
705.0,363.0
705.0,363.0
730.0,388.0
736.0,402.0
736.0,402.0
732.0,417.0
732.0,417.0
725.0,426.0
716.0,421.0
719.0,411.0
719.0,411.0
735.0,406.0
735.0,406.0
754.0,408.0
780.0,430.0
785.0,440.0
785.0,440.0
783.0,440.0
783.0,440.0
780.0,429.0
773.0,395.0
772.0,378.0
772.0,378.0
776.0,367.0
780.0,358.0
780.0,358.0
803.0,364.0
808.0,368.0
808.0,368.0
806.0,378.0
806.0,378.0
798.0,392.0
786.0,433.0
783.0,455.0
783.0,455.0
781.0,478.0
772.0,477.0
762.0,468.0
762.0,468.0
747.0,462.0
747.0,462.0
730.0,460.0
704.0,459.0
703.0,461.0
703.0,461.0
713.0,471.0
713.0,471.0
731.0,486.0
765.0,520.0
774.0,531.0
774.0,531.0
781.0,537.0
781.0,537.0
