x,y
470.0,477.0
467.0,466.0
466.0,405.0
464.0,401.0
465.0,400.0
464.0,405.0
467.0,411.0
465.0,420.0
470.0,426.0
486.0,456.0
492.0,461.0
498.0,463.0
503.0,461.0
507.0,457.0
509.0,447.0
506.0,403.0
507.0,394.0
509.0,388.0
515.0,388.0
519.0,392.0
526.0,397.0
552.0,441.0
558.0,453.0
563.0,461.0
563.0,466.0
561.0,467.0
563.0,462.0
560.0,456.0
558.0,446.0
557.0,408.0
563.0,400.0
567.0,396.0
573.0,400.0
580.0,404.0
587.0,411.0
603.0,446.0
603.0,452.0
605.0,455.0
606.0,454.0
605.0,450.0
603.0,442.0
602.0,413.0
605.0,405.0
612.0,398.0
616.0,398.0
622.0,396.0
648.0,427.0
655.0,433.0
665.0,439.0
674.0,443.0
682.0,443.0
687.0,446.0
689.0,447.0
686.0,450.0
664.0,444.0
660.0,439.0
658.0,430.0
659.0,421.0
658.0,414.0
678.0,395.0
688.0,393.0
696.0,394.0
701.0,399.0
706.0,405.0
713.0,416.0
714.0,453.0
711.0,457.0
705.0,461.0
700.0,463.0
697.0,458.0
695.0,456.0
694.0,454.0
719.0,452.0
728.0,454.0
740.0,454.0
753.0,458.0
764.0,456.0
779.0,459.0
786.0,460.0
806.0,462.0
803.0,458.0
799.0,466.0
790.0,465.0
783.0,470.0
773.0,464.0
764.0,463.0
758.0,462.0
746.0,428.0
747.0,420.0
754.0,406.0
759.0,400.0
772.0,390.0
811.0,391.0
815.0,398.0
796.0,416.0
785.0,425.0
756.0,451.0
748.0,458.0
738.0,465.0
710.0,490.0
706.0,496.0
707.0,501.0
708.0,509.0
711.0,513.0
717.0,519.0
721.0,520.0
723.0,501.0
721.0,495.0
719.0,489.0
714.0,481.0
712.0,477.0
709.0,473.0
704.0,466.0
702.0,465.0
694.0,471.0
689.0,476.0
679.0,483.0
669.0,487.0
660.0,488.0
650.0,491.0
637.0,489.0
619.0,501.0
621.0,501.0
627.0,505.0
630.0,508.0
635.0,509.0
640.0,508.0
636.0,486.0
630.0,480.0
624.0,472.0
619.0,468.0
613.0,463.0
611.0,460.0
608.0,459.0
618.0,459.0
623.0,463.0
632.0,465.0
640.0,469.0
650.0,475.0
659.0,481.0
675.0,520.0
672.0,534.0
666.0,546.0
657.0,548.0
653.0,553.0
653.0,556.0
661.0,562.0
676.0,566.0
706.0,579.0
729.0,594.0
729.0,594.0
758.0,618.0
761.0,621.0
761.0,621.0
