x,y
732.0,467.0
732.0,467.0
736.0,468.0
741.0,442.0
743.0,428.0
743.0,428.0
744.0,419.0
744.0,419.0
742.0,421.0
744.0,432.0
744.0,432.0
760.0,462.0
771.0,465.0
771.0,465.0
772.0,456.0
774.0,429.0
779.0,422.0
779.0,422.0
817.0,444.0
824.0,460.0
821.0,469.0
821.0,469.0
812.0,468.0
812.0,468.0
794.0,442.0
797.0,428.0
806.0,415.0
806.0,415.0
821.0,414.0
821.0,414.0
835.0,423.0
852.0,458.0
854.0,468.0
854.0,468.0
854.0,462.0
854.0,462.0
852.0,447.0
852.0,447.0
853.0,431.0
865.0,417.0
872.0,426.0
872.0,426.0
881.0,441.0
881.0,441.0
884.0,460.0
887.0,475.0
886.0,465.0
886.0,465.0
888.0,446.0
888.0,446.0
895.0,409.0
897.0,407.0
891.0,411.0
891.0,411.0
879.0,424.0
879.0,424.0
863.0,438.0
863.0,438.0
841.0,454.0
799.0,466.0
787.0,471.0
787.0,471.0
785.0,475.0
792.0,483.0
792.0,483.0
819.0,500.0
835.0,502.0
835.0,502.0
851.0,500.0
851.0,500.0
862.0,493.0
870.0,492.0
870.0,492.0
865.0,505.0
861.0,514.0
861.0,514.0
864.0,520.0
864.0,520.0
875.0,528.0
906.0,541.0
919.0,546.0
919.0,546.0
