x,y
492.0,446.0
492.0,446.0
504.0,460.0
515.0,474.0
515.0,474.0
524.0,490.0
540.0,507.0
541.0,498.0
541.0,498.0
538.0,472.0
536.0,413.0
540.0,377.0
540.0,377.0
541.0,347.0
541.0,347.0
540.0,309.0
538.0,309.0
540.0,321.0
540.0,321.0
545.0,372.0
549.0,399.0
554.0,426.0
554.0,426.0
562.0,454.0
562.0,454.0
588.0,485.0
602.0,488.0
609.0,478.0
609.0,478.0
612.0,437.0
613.0,417.0
613.0,417.0
617.0,410.0
617.0,410.0
630.0,414.0
661.0,454.0
687.0,488.0
687.0,488.0
721.0,553.0
735.0,577.0
747.0,600.0
747.0,600.0
754.0,621.0
754.0,621.0
761.0,635.0
754.0,635.0
744.0,622.0
744.0,622.0
734.0,604.0
724.0,549.0
721.0,522.0
721.0,522.0
712.0,455.0
711.0,435.0
711.0,435.0
711.0,434.0
716.0,443.0
716.0,443.0
735.0,492.0
748.0,505.0
748.0,505.0
773.0,520.0
777.0,511.0
777.0,494.0
777.0,494.0
774.0,458.0
778.0,447.0
787.0,439.0
787.0,439.0
797.0,441.0
797.0,441.0
807.0,452.0
831.0,482.0
855.0,499.0
855.0,499.0
882.0,504.0
882.0,504.0
902.0,512.0
912.0,514.0
894.0,514.0
894.0,514.0
863.0,493.0
854.0,478.0
854.0,478.0
854.0,458.0
854.0,458.0
859.0,442.0
888.0,431.0
903.0,438.0
903.0,438.0
915.0,455.0
920.0,485.0
917.0,504.0
917.0,504.0
905.0,517.0
905.0,517.0
889.0,528.0
851.0,539.0
838.0,538.0
838.0,538.0
830.0,537.0
836.0,541.0
865.0,559.0
865.0,559.0
885.0,568.0
885.0,568.0
911.0,582.0
922.0,577.0
931.0,566.0
931.0,566.0
940.0,558.0
940.0,558.0
926.0,543.0
912.0,544.0
912.0,544.0
903.0,540.0
903.0,540.0
903.0,540.0
926.0,559.0
940.0,576.0
950.0,586.0
950.0,586.0
968.0,611.0
969.0,614.0
966.0,616.0
966.0,616.0
956.0,612.0
