x,y
700.0,510.0
701.0,509.0
701.0,510.0
702.0,513.0
702.0,513.0
702.0,520.0
694.0,529.0
686.0,535.0
686.0,535.0
678.0,537.0
659.0,536.0
652.0,531.0
652.0,531.0
639.0,507.0
634.0,491.0
629.0,469.0
629.0,469.0
637.0,435.0
649.0,425.0
673.0,415.0
673.0,415.0
688.0,416.0
696.0,423.0
696.0,423.0
705.0,439.0
707.0,449.0
706.0,461.0
706.0,461.0
708.0,481.0
708.0,486.0
709.0,484.0
709.0,484.0
710.0,485.0
710.0,485.0
711.0,481.0
708.0,474.0
704.0,464.0
704.0,464.0
701.0,450.0
701.0,450.0
700.0,408.0
698.0,391.0
698.0,391.0
699.0,371.0
698.0,334.0
695.0,319.0
695.0,319.0
693.0,308.0
695.0,313.0
695.0,318.0
695.0,318.0
696.0,342.0
698.0,356.0
703.0,375.0
703.0,375.0
710.0,393.0
710.0,393.0
717.0,412.0
728.0,441.0
735.0,455.0
735.0,455.0
741.0,477.0
744.0,489.0
744.0,489.0
747.0,493.0
747.0,493.0
748.0,490.0
744.0,476.0
744.0,463.0
744.0,463.0
742.0,447.0
748.0,426.0
755.0,424.0
755.0,424.0
765.0,424.0
785.0,440.0
792.0,452.0
792.0,452.0
799.0,464.0
799.0,464.0
803.0,475.0
808.0,484.0
805.0,478.0
805.0,478.0
803.0,467.0
803.0,467.0
800.0,437.0
806.0,430.0
815.0,421.0
815.0,421.0
826.0,420.0
826.0,420.0
856.0,434.0
872.0,444.0
872.0,444.0
889.0,457.0
900.0,467.0
914.0,487.0
914.0,487.0
913.0,493.0
901.0,493.0
901.0,493.0
875.0,480.0
866.0,468.0
860.0,457.0
860.0,457.0
862.0,425.0
873.0,412.0
873.0,412.0
884.0,402.0
884.0,402.0
896.0,402.0
912.0,420.0
917.0,434.0
917.0,434.0
921.0,462.0
919.0,473.0
916.0,482.0
916.0,482.0
913.0,488.0
913.0,483.0
913.0,483.0
916.0,475.0
918.0,465.0
920.0,441.0
920.0,441.0
924.0,427.0
929.0,416.0
929.0,416.0
956.0,404.0
974.0,405.0
974.0,405.0
984.0,409.0
1005.0,431.0
1004.0,437.0
1004.0,437.0
1002.0,440.0
1002.0,440.0
