x,y
615.0,549.0
615.0,549.0
626.0,564.0
613.0,578.0
613.0,578.0
580.0,580.0
546.0,565.0
546.0,565.0
546.0,565.0
536.0,545.0
536.0,545.0
543.0,511.0
575.0,479.0
575.0,479.0
575.0,479.0
605.0,490.0
605.0,490.0
621.0,528.0
624.0,560.0
624.0,560.0
624.0,568.0
627.0,560.0
627.0,560.0
624.0,530.0
623.0,477.0
623.0,477.0
623.0,477.0
626.0,432.0
626.0,432.0
626.0,413.0
631.0,445.0
631.0,445.0
634.0,492.0
641.0,533.0
641.0,533.0
641.0,533.0
652.0,562.0
652.0,562.0
659.0,577.0
659.0,573.0
659.0,573.0
659.0,573.0
663.0,557.0
663.0,557.0
666.0,530.0
673.0,506.0
673.0,506.0
691.0,511.0
705.0,539.0
705.0,539.0
705.0,539.0
706.0,571.0
706.0,571.0
706.0,581.0
709.0,570.0
709.0,570.0
709.0,570.0
713.0,541.0
713.0,541.0
723.0,508.0
743.0,501.0
743.0,501.0
771.0,517.0
797.0,537.0
797.0,537.0
803.0,564.0
785.0,580.0
785.0,580.0
785.0,580.0
751.0,573.0
751.0,573.0
736.0,555.0
727.0,519.0
727.0,519.0
727.0,519.0
741.0,486.0
741.0,486.0
767.0,474.0
792.0,496.0
792.0,496.0
792.0,496.0
800.0,524.0
800.0,524.0
796.0,546.0
792.0,554.0
792.0,554.0
792.0,554.0
790.0,545.0
790.0,545.0
787.0,515.0
803.0,485.0
803.0,485.0
803.0,485.0
822.0,483.0
822.0,483.0
834.0,516.0
838.0,544.0
838.0,544.0
838.0,544.0
834.0,560.0
834.0,560.0
833.0,561.0
835.0,543.0
835.0,543.0
835.0,543.0
841.0,516.0
841.0,516.0
859.0,500.0
878.0,516.0
878.0,516.0
878.0,516.0
882.0,545.0
877.0,567.0
873.0,568.0
873.0,568.0
876.0,552.0
876.0,552.0
883.0,519.0
883.0,519.0
892.0,476.0
893.0,436.0
893.0,436.0
893.0,436.0
893.0,436.0
893.0,411.0
871.0,420.0
849.0,452.0
849.0,452.0
849.0,452.0
863.0,482.0
899.0,508.0
899.0,508.0
924.0,529.0
924.0,529.0
924.0,529.0
