x,y
744.0,409.0
750.0,415.0
751.0,421.0
748.0,431.0
748.0,431.0
744.0,440.0
744.0,440.0
716.0,435.0
709.0,425.0
709.0,425.0
709.0,410.0
716.0,396.0
716.0,396.0
738.0,394.0
746.0,409.0
746.0,409.0
747.0,423.0
747.0,423.0
745.0,426.0
740.0,400.0
737.0,381.0
737.0,381.0
736.0,357.0
733.0,335.0
733.0,335.0
731.0,320.0
732.0,334.0
733.0,356.0
733.0,356.0
735.0,379.0
735.0,379.0
758.0,425.0
765.0,440.0
765.0,440.0
765.0,443.0
763.0,431.0
763.0,431.0
765.0,401.0
768.0,396.0
773.0,395.0
776.0,397.0
783.0,403.0
788.0,412.0
794.0,439.0
795.0,441.0
795.0,435.0
795.0,429.0
796.0,419.0
797.0,410.0
800.0,400.0
802.0,395.0
825.0,403.0
831.0,412.0
832.0,421.0
833.0,430.0
833.0,437.0
833.0,440.0
833.0,438.0
836.0,407.0
839.0,398.0
842.0,393.0
844.0,391.0
850.0,394.0
856.0,401.0
866.0,435.0
867.0,438.0
866.0,436.0
864.0,427.0
864.0,418.0
864.0,405.0
863.0,389.0
863.0,329.0
859.0,322.0
853.0,310.0
850.0,308.0
846.0,312.0
847.0,319.0
845.0,329.0
846.0,335.0
874.0,372.0
885.0,385.0
896.0,397.0
905.0,411.0
909.0,422.0
908.0,430.0
907.0,435.0
884.0,422.0
882.0,414.0
883.0,404.0
887.0,400.0
892.0,394.0
896.0,392.0
903.0,395.0
909.0,399.0
930.0,430.0
933.0,438.0
934.0,441.0
934.0,443.0
936.0,439.0
937.0,433.0
937.0,395.0
934.0,389.0
934.0,393.0
934.0,393.0
936.0,401.0
939.0,409.0
956.0,441.0
962.0,442.0
968.0,444.0
970.0,441.0
975.0,431.0
973.0,424.0
975.0,416.0
974.0,398.0
977.0,398.0
978.0,398.0
973.0,398.0
971.0,403.0
970.0,409.0
955.0,423.0
914.0,440.0
903.0,442.0
890.0,445.0
880.0,446.0
876.0,448.0
872.0,449.0
872.0,453.0
874.0,457.0
887.0,466.0
910.0,487.0
916.0,492.0
922.0,491.0
928.0,487.0
934.0,479.0
937.0,469.0
938.0,463.0
933.0,491.0
929.0,499.0
925.0,508.0
925.0,508.0
925.0,515.0
927.0,537.0
930.0,538.0
938.0,539.0
938.0,537.0
940.0,534.0
942.0,529.0
943.0,523.0
940.0,520.0
932.0,507.0
927.0,506.0
925.0,505.0
