x,y
603.0,446.0
603.0,443.0
603.0,443.0
613.0,468.0
619.0,506.0
619.0,506.0
619.0,506.0
615.0,523.0
615.0,523.0
605.0,525.0
597.0,517.0
597.0,517.0
604.0,505.0
628.0,502.0
628.0,502.0
652.0,511.0
657.0,510.0
657.0,510.0
657.0,510.0
658.0,492.0
658.0,492.0
665.0,467.0
679.0,456.0
679.0,456.0
679.0,456.0
697.0,467.0
712.0,480.0
712.0,480.0
728.0,493.0
728.0,493.0
728.0,493.0
726.0,512.0
726.0,512.0
707.0,516.0
693.0,510.0
693.0,510.0
693.0,510.0
689.0,494.0
691.0,478.0
691.0,478.0
701.0,463.0
701.0,463.0
701.0,463.0
717.0,459.0
733.0,481.0
733.0,481.0
733.0,504.0
733.0,504.0
730.0,509.0
730.0,496.0
730.0,496.0
734.0,468.0
746.0,461.0
746.0,461.0
754.0,483.0
759.0,508.0
759.0,508.0
759.0,508.0
759.0,520.0
759.0,520.0
760.0,514.0
766.0,485.0
766.0,485.0
766.0,485.0
769.0,469.0
769.0,469.0
771.0,487.0
773.0,506.0
773.0,506.0
787.0,518.0
801.0,515.0
801.0,515.0
801.0,515.0
810.0,490.0
810.0,490.0
818.0,468.0
834.0,465.0
834.0,465.0
853.0,480.0
870.0,494.0
870.0,494.0
870.0,494.0
882.0,513.0
882.0,513.0
867.0,527.0
844.0,524.0
844.0,524.0
844.0,524.0
836.0,512.0
836.0,512.0
836.0,489.0
848.0,470.0
848.0,470.0
868.0,468.0
876.0,489.0
876.0,489.0
876.0,489.0
878.0,512.0
876.0,523.0
876.0,523.0
870.0,516.0
870.0,516.0
873.0,486.0
876.0,446.0
876.0,446.0
876.0,446.0
876.0,446.0
884.0,415.0
882.0,394.0
870.0,394.0
870.0,394.0
870.0,394.0
855.0,420.0
863.0,442.0
863.0,442.0
884.0,457.0
884.0,457.0
913.0,470.0
