x,y
546.0,401.0
552.0,389.0
552.0,389.0
570.0,412.0
575.0,436.0
575.0,436.0
575.0,436.0
572.0,457.0
572.0,457.0
568.0,473.0
550.0,480.0
543.0,471.0
543.0,471.0
547.0,459.0
566.0,454.0
593.0,459.0
610.0,463.0
610.0,463.0
618.0,462.0
621.0,453.0
622.0,434.0
622.0,434.0
630.0,412.0
630.0,412.0
636.0,390.0
647.0,381.0
647.0,381.0
675.0,421.0
675.0,421.0
690.0,442.0
690.0,442.0
692.0,456.0
692.0,456.0
687.0,470.0
657.0,468.0
657.0,468.0
643.0,449.0
643.0,449.0
642.0,432.0
642.0,432.0
648.0,420.0
673.0,395.0
682.0,400.0
682.0,400.0
682.0,400.0
685.0,431.0
684.0,445.0
684.0,445.0
684.0,451.0
685.0,445.0
685.0,445.0
686.0,423.0
692.0,405.0
698.0,395.0
698.0,395.0
700.0,392.0
700.0,392.0
714.0,414.0
720.0,436.0
720.0,436.0
721.0,446.0
721.0,446.0
721.0,444.0
721.0,428.0
724.0,406.0
724.0,406.0
724.0,406.0
731.0,392.0
731.0,392.0
749.0,413.0
749.0,433.0
749.0,433.0
749.0,451.0
748.0,460.0
748.0,460.0
748.0,460.0
747.0,449.0
746.0,430.0
746.0,430.0
754.0,407.0
754.0,407.0
765.0,385.0
771.0,387.0
771.0,387.0
779.0,391.0
779.0,391.0
787.0,403.0
