x,y
780.0,496.0
778.0,488.0
772.0,409.0
771.0,387.0
775.0,379.0
774.0,376.0
774.0,379.0
777.0,390.0
779.0,402.0
813.0,451.0
826.0,457.0
839.0,460.0
852.0,465.0
863.0,469.0
878.0,468.0
883.0,471.0
886.0,476.0
880.0,476.0
875.0,477.0
877.0,479.0
880.0,480.0
890.0,480.0
901.0,479.0
954.0,475.0
957.0,475.0
954.0,477.0
947.0,480.0
937.0,479.0
878.0,458.0
868.0,446.0
862.0,436.0
861.0,421.0
861.0,409.0
865.0,402.0
874.0,398.0
909.0,435.0
918.0,449.0
924.0,461.0
929.0,473.0
930.0,478.0
931.0,477.0
927.0,471.0
927.0,462.0
928.0,405.0
934.0,398.0
941.0,400.0
952.0,405.0
966.0,418.0
976.0,434.0
987.0,449.0
1013.0,518.0
1013.0,525.0
1013.0,526.0
1011.0,516.0
1009.0,505.0
1009.0,486.0
1009.0,464.0
1007.0,439.0
1006.0,410.0
1008.0,391.0
1009.0,412.0
1009.0,412.0
1005.0,443.0
999.0,469.0
999.0,469.0
974.0,478.0
977.0,478.0
989.0,477.0
989.0,477.0
1001.0,476.0
1016.0,472.0
1032.0,473.0
1040.0,482.0
1027.0,481.0
1010.0,485.0
991.0,488.0
970.0,491.0
948.0,495.0
923.0,497.0
908.0,499.0
871.0,501.0
870.0,500.0
871.0,500.0
876.0,506.0
883.0,513.0
891.0,521.0
924.0,565.0
931.0,564.0
938.0,560.0
942.0,549.0
948.0,540.0
954.0,530.0
960.0,520.0
972.0,523.0
971.0,530.0
967.0,538.0
968.0,547.0
966.0,553.0
968.0,560.0
974.0,566.0
980.0,572.0
1032.0,608.0
1044.0,616.0
1053.0,621.0
1054.0,626.0
