x,y
529.0,584.0
526.0,577.0
526.0,577.0
526.0,571.0
525.0,548.0
525.0,535.0
525.0,535.0
523.0,516.0
523.0,516.0
523.0,493.0
528.0,466.0
528.0,456.0
528.0,456.0
522.0,458.0
520.0,469.0
519.0,484.0
519.0,484.0
518.0,499.0
518.0,499.0
521.0,536.0
528.0,552.0
533.0,568.0
533.0,568.0
543.0,581.0
543.0,581.0
554.0,589.0
554.0,589.0
567.0,593.0
589.0,586.0
594.0,577.0
594.0,577.0
585.0,554.0
577.0,545.0
569.0,537.0
569.0,537.0
562.0,532.0
562.0,532.0
554.0,534.0
554.0,534.0
548.0,533.0
549.0,532.0
551.0,529.0
551.0,529.0
555.0,523.0
555.0,523.0
559.0,517.0
569.0,499.0
580.0,493.0
580.0,493.0
596.0,489.0
596.0,489.0
608.0,489.0
635.0,500.0
651.0,509.0
651.0,509.0
668.0,525.0
668.0,525.0
682.0,539.0
681.0,558.0
671.0,559.0
671.0,559.0
653.0,555.0
653.0,555.0
640.0,545.0
640.0,545.0
616.0,511.0
611.0,495.0
614.0,480.0
614.0,480.0
640.0,464.0
653.0,462.0
669.0,466.0
669.0,466.0
681.0,475.0
681.0,475.0
690.0,486.0
696.0,512.0
694.0,525.0
694.0,525.0
688.0,533.0
688.0,533.0
682.0,538.0
682.0,538.0
678.0,535.0
680.0,529.0
688.0,525.0
688.0,525.0
699.0,527.0
699.0,527.0
724.0,536.0
733.0,543.0
741.0,548.0
741.0,548.0
746.0,550.0
746.0,550.0
755.0,543.0
756.0,530.0
755.0,505.0
755.0,505.0
757.0,486.0
757.0,486.0
755.0,472.0
755.0,472.0
754.0,466.0
751.0,481.0
750.0,496.0
750.0,496.0
755.0,513.0
764.0,530.0
764.0,530.0
785.0,552.0
790.0,553.0
790.0,553.0
795.0,548.0
795.0,548.0
795.0,538.0
799.0,506.0
802.0,489.0
802.0,489.0
804.0,476.0
804.0,476.0
816.0,462.0
828.0,461.0
837.0,463.0
837.0,463.0
851.0,469.0
851.0,469.0
864.0,480.0
895.0,502.0
926.0,522.0
926.0,522.0
931.0,533.0
922.0,546.0
911.0,552.0
911.0,552.0
898.0,550.0
898.0,550.0
883.0,545.0
869.0,525.0
867.0,510.0
867.0,510.0
869.0,497.0
869.0,497.0
882.0,472.0
893.0,469.0
902.0,469.0
902.0,469.0
914.0,477.0
914.0,477.0
928.0,502.0
929.0,513.0
932.0,518.0
932.0,518.0
938.0,527.0
938.0,527.0
941.0,525.0
941.0,525.0
938.0,516.0
939.0,485.0
937.0,464.0
937.0,464.0
933.0,441.0
933.0,441.0
933.0,419.0
930.0,384.0
926.0,368.0
926.0,368.0
917.0,356.0
917.0,356.0
909.0,349.0
909.0,349.0
903.0,348.0
902.0,360.0
911.0,374.0
911.0,374.0
923.0,390.0
923.0,390.0
942.0,413.0
980.0,456.0
991.0,468.0
991.0,468.0
993.0,490.0
993.0,490.0
980.0,499.0
980.0,499.0
943.0,529.0
915.0,548.0
881.0,562.0
881.0,562.0
837.0,576.0
837.0,576.0
765.0,586.0
733.0,586.0
733.0,586.0
709.0,588.0
695.0,593.0
695.0,593.0
683.0,594.0
683.0,594.0
666.0,593.0
662.0,592.0
662.0,592.0
659.0,593.0
658.0,598.0
658.0,598.0
668.0,609.0
676.0,623.0
688.0,632.0
688.0,632.0
698.0,640.0
698.0,640.0
710.0,642.0
727.0,638.0
734.0,633.0
734.0,633.0
738.0,627.0
738.0,627.0
741.0,622.0
738.0,615.0
729.0,604.0
729.0,604.0
718.0,587.0
718.0,587.0
698.0,540.0
689.0,512.0
689.0,512.0
681.0,486.0
681.0,486.0
677.0,460.0
669.0,422.0
668.0,415.0
668.0,415.0
667.0,411.0
666.0,412.0
666.0,412.0
669.0,414.0
667.0,414.0
