x,y
770.0,475.0
765.0,468.0
762.0,465.0
761.0,464.0
760.0,462.0
763.0,461.0
765.0,465.0
770.0,468.0
796.0,503.0
797.0,511.0
797.0,515.0
791.0,517.0
787.0,517.0
783.0,513.0
780.0,512.0
778.0,506.0
796.0,491.0
803.0,489.0
807.0,487.0
811.0,483.0
814.0,480.0
812.0,476.0
809.0,450.0
815.0,450.0
821.0,452.0
825.0,457.0
830.0,462.0
834.0,470.0
836.0,477.0
831.0,480.0
829.0,473.0
829.0,464.0
829.0,457.0
830.0,451.0
830.0,447.0
834.0,444.0
838.0,446.0
855.0,472.0
859.0,479.0
859.0,486.0
858.0,484.0
858.0,482.0
857.0,477.0
855.0,469.0
859.0,445.0
865.0,445.0
873.0,447.0
878.0,452.0
884.0,458.0
890.0,466.0
914.0,480.0
916.0,483.0
913.0,481.0
908.0,479.0
903.0,478.0
897.0,475.0
890.0,471.0
887.0,467.0
892.0,448.0
897.0,443.0
904.0,442.0
909.0,443.0
914.0,445.0
918.0,447.0
921.0,451.0
911.0,459.0
904.0,462.0
899.0,466.0
892.0,472.0
885.0,474.0
878.0,482.0
872.0,488.0
864.0,494.0
856.0,510.0
860.0,510.0
865.0,510.0
869.0,509.0
874.0,507.0
878.0,505.0
877.0,499.0
856.0,484.0
852.0,482.0
850.0,480.0
847.0,476.0
848.0,471.0
847.0,467.0
846.0,436.0
844.0,426.0
842.0,419.0
840.0,413.0
840.0,410.0
839.0,411.0
837.0,410.0
