x,y
570.0,487.0
559.0,500.0
546.0,505.0
531.0,502.0
520.0,490.0
520.0,473.0
539.0,458.0
565.0,442.0
583.0,433.0
591.0,421.0
591.0,421.0
568.0,389.0
548.0,387.0
531.0,396.0
524.0,412.0
524.0,412.0
527.0,423.0
533.0,425.0
554.0,429.0
615.0,438.0
641.0,451.0
641.0,451.0
661.0,458.0
671.0,468.0
672.0,476.0
661.0,490.0
639.0,497.0
618.0,495.0
606.0,471.0
610.0,450.0
612.0,431.0
621.0,412.0
639.0,399.0
639.0,399.0
654.0,403.0
662.0,424.0
665.0,452.0
664.0,468.0
661.0,475.0
660.0,472.0
663.0,456.0
672.0,434.0
682.0,408.0
697.0,390.0
709.0,392.0
716.0,411.0
717.0,430.0
728.0,445.0
