x,y
569.0,391.0
577.0,398.0
589.0,409.0
600.0,423.0
615.0,448.0
617.0,461.0
611.0,472.0
607.0,470.0
605.0,466.0
604.0,460.0
604.0,455.0
610.0,450.0
635.0,423.0
637.0,415.0
642.0,410.0
642.0,404.0
642.0,399.0
624.0,385.0
621.0,384.0
615.0,385.0
615.0,386.0
617.0,386.0
617.0,386.0
616.0,385.0
639.0,385.0
647.0,384.0
657.0,385.0
672.0,388.0
696.0,401.0
711.0,409.0
721.0,414.0
751.0,434.0
757.0,439.0
760.0,442.0
760.0,445.0
754.0,449.0
747.0,449.0
730.0,446.0
717.0,443.0
686.0,429.0
676.0,421.0
670.0,414.0
667.0,407.0
666.0,402.0
667.0,398.0
672.0,393.0
689.0,388.0
700.0,386.0
727.0,402.0
732.0,409.0
738.0,418.0
749.0,441.0
748.0,439.0
747.0,434.0
746.0,428.0
744.0,421.0
746.0,402.0
748.0,398.0
750.0,395.0
755.0,394.0
762.0,395.0
773.0,402.0
781.0,408.0
788.0,414.0
795.0,425.0
822.0,442.0
830.0,449.0
835.0,450.0
841.0,453.0
845.0,454.0
838.0,455.0
832.0,453.0
807.0,441.0
802.0,436.0
800.0,428.0
800.0,428.0
798.0,421.0
799.0,413.0
801.0,406.0
811.0,397.0
845.0,411.0
855.0,421.0
867.0,437.0
879.0,450.0
879.0,450.0
890.0,467.0
904.0,483.0
948.0,563.0
950.0,575.0
956.0,591.0
962.0,602.0
962.0,612.0
967.0,626.0
968.0,624.0
967.0,620.0
958.0,601.0
955.0,588.0
951.0,573.0
945.0,555.0
939.0,531.0
937.0,513.0
932.0,457.0
931.0,442.0
927.0,423.0
926.0,418.0
923.0,417.0
919.0,415.0
918.0,418.0
934.0,442.0
945.0,454.0
951.0,460.0
951.0,460.0
965.0,472.0
971.0,475.0
977.0,475.0
980.0,468.0
975.0,432.0
977.0,424.0
976.0,414.0
978.0,409.0
978.0,409.0
985.0,404.0
993.0,406.0
994.0,406.0
1007.0,425.0
1007.0,429.0
999.0,437.0
991.0,440.0
979.0,449.0
964.0,456.0
951.0,461.0
871.0,478.0
850.0,480.0
828.0,482.0
811.0,483.0
791.0,486.0
776.0,487.0
761.0,488.0
729.0,493.0
733.0,496.0
738.0,500.0
749.0,505.0
764.0,513.0
775.0,520.0
789.0,527.0
801.0,532.0
