x,y
796.0,417.0
797.0,418.0
796.0,423.0
797.0,429.0
781.0,443.0
776.0,438.0
771.0,433.0
767.0,426.0
768.0,418.0
770.0,410.0
793.0,385.0
799.0,380.0
797.0,376.0
791.0,373.0
782.0,370.0
771.0,366.0
762.0,367.0
749.0,363.0
755.0,364.0
765.0,364.0
777.0,367.0
790.0,371.0
805.0,376.0
821.0,381.0
838.0,389.0
870.0,423.0
864.0,428.0
853.0,427.0
844.0,422.0
833.0,417.0
828.0,405.0
826.0,395.0
849.0,374.0
854.0,382.0
862.0,384.0
869.0,398.0
874.0,406.0
876.0,419.0
872.0,407.0
874.0,397.0
873.0,391.0
877.0,386.0
884.0,384.0
890.0,386.0
894.0,393.0
899.0,398.0
915.0,434.0
916.0,439.0
915.0,439.0
915.0,437.0
915.0,430.0
914.0,421.0
911.0,408.0
922.0,384.0
926.0,387.0
933.0,394.0
940.0,404.0
944.0,417.0
946.0,426.0
946.0,433.0
943.0,435.0
938.0,404.0
937.0,390.0
935.0,381.0
934.0,373.0
932.0,370.0
931.0,370.0
929.0,377.0
900.0,423.0
890.0,434.0
882.0,447.0
875.0,457.0
871.0,464.0
873.0,474.0
880.0,483.0
918.0,515.0
929.0,521.0
937.0,525.0
942.0,528.0
941.0,528.0
