x,y
581.0,493.0
583.0,493.0
584.0,496.0
587.0,501.0
594.0,505.0
620.0,551.0
625.0,559.0
626.0,571.0
623.0,578.0
620.0,580.0
615.0,583.0
611.0,581.0
608.0,579.0
619.0,561.0
631.0,557.0
641.0,553.0
651.0,546.0
660.0,541.0
665.0,534.0
665.0,514.0
661.0,511.0
655.0,507.0
648.0,503.0
640.0,499.0
616.0,495.0
614.0,497.0
615.0,496.0
620.0,496.0
627.0,495.0
633.0,493.0
643.0,492.0
697.0,501.0
709.0,507.0
724.0,515.0
739.0,525.0
747.0,534.0
752.0,539.0
756.0,548.0
730.0,547.0
723.0,542.0
716.0,534.0
714.0,525.0
713.0,516.0
716.0,506.0
721.0,497.0
726.0,491.0
766.0,510.0
769.0,520.0
772.0,530.0
771.0,540.0
768.0,544.0
763.0,548.0
747.0,535.0
751.0,533.0
769.0,533.0
769.0,533.0
779.0,537.0
792.0,541.0
803.0,549.0
825.0,548.0
825.0,539.0
826.0,529.0
825.0,517.0
821.0,499.0
821.0,499.0
818.0,496.0
826.0,516.0
832.0,529.0
836.0,541.0
846.0,551.0
855.0,558.0
862.0,559.0
872.0,538.0
873.0,511.0
875.0,505.0
879.0,503.0
885.0,502.0
893.0,503.0
903.0,507.0
914.0,511.0
965.0,535.0
974.0,540.0
981.0,547.0
982.0,554.0
979.0,560.0
977.0,564.0
966.0,563.0
945.0,556.0
928.0,538.0
928.0,506.0
936.0,498.0
943.0,496.0
953.0,493.0
990.0,526.0
994.0,540.0
991.0,540.0
985.0,537.0
982.0,528.0
982.0,528.0
980.0,517.0
977.0,446.0
976.0,422.0
974.0,400.0
966.0,359.0
960.0,342.0
957.0,334.0
941.0,340.0
943.0,352.0
944.0,366.0
947.0,383.0
957.0,401.0
966.0,419.0
990.0,454.0
1007.0,472.0
1013.0,487.0
1009.0,521.0
994.0,529.0
977.0,539.0
959.0,545.0
933.0,553.0
916.0,559.0
869.0,573.0
761.0,592.0
737.0,594.0
723.0,596.0
723.0,596.0
708.0,597.0
701.0,601.0
696.0,607.0
695.0,612.0
753.0,654.0
763.0,654.0
772.0,655.0
772.0,655.0
801.0,628.0
808.0,615.0
