x,y
565.0,444.0
565.0,444.0
548.0,461.0
524.0,458.0
524.0,458.0
508.0,445.0
510.0,428.0
528.0,407.0
557.0,393.0
557.0,393.0
575.0,379.0
582.0,353.0
564.0,331.0
541.0,340.0
529.0,366.0
528.0,380.0
535.0,386.0
549.0,389.0
579.0,392.0
579.0,392.0
608.0,412.0
613.0,434.0
606.0,445.0
608.0,441.0
612.0,426.0
617.0,394.0
624.0,376.0
624.0,376.0
631.0,363.0
646.0,360.0
660.0,373.0
668.0,406.0
667.0,440.0
665.0,450.0
665.0,450.0
667.0,438.0
676.0,413.0
680.0,386.0
687.0,363.0
687.0,363.0
695.0,357.0
703.0,383.0
706.0,420.0
711.0,441.0
712.0,450.0
713.0,441.0
713.0,441.0
715.0,420.0
716.0,388.0
720.0,354.0
724.0,319.0
719.0,285.0
719.0,269.0
719.0,269.0
718.0,287.0
718.0,287.0
714.0,307.0
718.0,336.0
719.0,367.0
722.0,397.0
722.0,397.0
713.0,418.0
718.0,447.0
726.0,464.0
738.0,471.0
762.0,465.0
781.0,450.0
784.0,425.0
775.0,404.0
750.0,385.0
731.0,383.0
731.0,383.0
710.0,391.0
704.0,406.0
704.0,406.0
697.0,420.0
689.0,443.0
680.0,464.0
670.0,478.0
655.0,484.0
655.0,484.0
638.0,484.0
643.0,486.0
655.0,495.0
669.0,509.0
669.0,509.0
686.0,523.0
697.0,530.0
