x,y
774.0,367.0
772.0,371.0
775.0,372.0
777.0,381.0
773.0,381.0
769.0,383.0
761.0,383.0
756.0,378.0
755.0,350.0
763.0,343.0
775.0,340.0
786.0,339.0
793.0,334.0
793.0,331.0
790.0,326.0
782.0,323.0
748.0,313.0
740.0,312.0
733.0,310.0
728.0,309.0
731.0,310.0
728.0,307.0
732.0,309.0
776.0,319.0
790.0,326.0
803.0,333.0
817.0,342.0
828.0,349.0
837.0,359.0
842.0,364.0
832.0,373.0
822.0,370.0
813.0,362.0
810.0,349.0
808.0,341.0
809.0,332.0
807.0,327.0
816.0,324.0
844.0,355.0
846.0,365.0
846.0,372.0
846.0,371.0
843.0,366.0
843.0,356.0
848.0,324.0
856.0,326.0
858.0,333.0
865.0,342.0
873.0,347.0
881.0,355.0
891.0,367.0
930.0,381.0
925.0,382.0
915.0,379.0
906.0,375.0
896.0,367.0
889.0,357.0
886.0,347.0
885.0,334.0
911.0,329.0
922.0,338.0
933.0,345.0
944.0,350.0
953.0,371.0
963.0,385.0
976.0,407.0
998.0,473.0
996.0,479.0
991.0,483.0
987.0,479.0
983.0,472.0
983.0,458.0
980.0,439.0
977.0,424.0
971.0,337.0
968.0,329.0
970.0,325.0
969.0,326.0
968.0,327.0
971.0,335.0
996.0,379.0
1001.0,382.0
1006.0,383.0
1009.0,380.0
1008.0,374.0
1007.0,360.0
1004.0,346.0
1005.0,327.0
999.0,326.0
991.0,327.0
979.0,324.0
963.0,318.0
943.0,315.0
927.0,314.0
859.0,288.0
845.0,284.0
840.0,282.0
835.0,276.0
832.0,278.0
831.0,277.0
831.0,276.0
