x,y
753.0,367.0
750.0,367.0
770.0,385.0
779.0,394.0
788.0,407.0
796.0,418.0
798.0,428.0
798.0,432.0
773.0,430.0
773.0,424.0
778.0,418.0
786.0,413.0
794.0,406.0
803.0,400.0
811.0,394.0
814.0,373.0
808.0,369.0
802.0,369.0
793.0,369.0
785.0,369.0
782.0,368.0
804.0,372.0
814.0,373.0
825.0,375.0
838.0,379.0
851.0,383.0
862.0,390.0
870.0,396.0
876.0,405.0
855.0,414.0
845.0,408.0
837.0,397.0
833.0,388.0
833.0,379.0
836.0,372.0
846.0,370.0
879.0,391.0
882.0,400.0
880.0,407.0
879.0,407.0
876.0,404.0
875.0,394.0
873.0,382.0
894.0,378.0
900.0,386.0
905.0,399.0
910.0,408.0
914.0,416.0
917.0,416.0
918.0,413.0
916.0,404.0
915.0,374.0
915.0,376.0
916.0,382.0
921.0,392.0
921.0,401.0
930.0,407.0
946.0,398.0
945.0,385.0
939.0,374.0
939.0,374.0
940.0,372.0
942.0,380.0
964.0,417.0
972.0,421.0
983.0,423.0
989.0,417.0
992.0,408.0
997.0,391.0
1003.0,384.0
1003.0,384.0
1023.0,386.0
1025.0,390.0
1020.0,390.0
1011.0,393.0
1000.0,388.0
988.0,384.0
958.0,374.0
904.0,340.0
890.0,326.0
874.0,319.0
863.0,310.0
857.0,307.0
854.0,303.0
