x,y
725.0,387.0
729.0,401.0
725.0,409.0
713.0,413.0
707.0,411.0
702.0,405.0
699.0,396.0
700.0,389.0
718.0,363.0
718.0,363.0
726.0,357.0
731.0,353.0
727.0,343.0
725.0,343.0
714.0,339.0
688.0,341.0
687.0,342.0
691.0,344.0
693.0,346.0
693.0,346.0
718.0,344.0
764.0,353.0
774.0,358.0
781.0,365.0
788.0,374.0
788.0,380.0
787.0,383.0
779.0,383.0
754.0,366.0
753.0,354.0
755.0,347.0
755.0,341.0
763.0,335.0
773.0,336.0
788.0,369.0
787.0,366.0
786.0,361.0
794.0,340.0
800.0,341.0
804.0,343.0
826.0,379.0
829.0,385.0
835.0,391.0
837.0,394.0
839.0,389.0
837.0,379.0
835.0,340.0
836.0,345.0
834.0,349.0
834.0,356.0
838.0,366.0
844.0,375.0
848.0,383.0
871.0,390.0
874.0,384.0
874.0,375.0
873.0,362.0
875.0,350.0
877.0,341.0
889.0,339.0
894.0,346.0
885.0,352.0
859.0,361.0
842.0,368.0
823.0,374.0
805.0,381.0
756.0,398.0
750.0,403.0
749.0,408.0
751.0,411.0
754.0,416.0
759.0,423.0
788.0,449.0
790.0,451.0
791.0,449.0
792.0,443.0
796.0,437.0
802.0,430.0
809.0,418.0
807.0,415.0
801.0,419.0
791.0,426.0
781.0,433.0
773.0,440.0
761.0,446.0
754.0,455.0
746.0,463.0
720.0,485.0
719.0,484.0
722.0,485.0
726.0,486.0
731.0,483.0
740.0,477.0
750.0,473.0
782.0,460.0
782.0,460.0
779.0,460.0
