x,y
705.0,503.0
706.0,502.0
706.0,498.0
705.0,466.0
707.0,457.0
713.0,406.0
711.0,407.0
711.0,407.0
709.0,412.0
707.0,418.0
705.0,422.0
696.0,429.0
690.0,440.0
675.0,463.0
678.0,463.0
683.0,464.0
691.0,465.0
700.0,463.0
739.0,460.0
745.0,465.0
748.0,474.0
753.0,483.0
753.0,497.0
761.0,559.0
759.0,572.0
761.0,575.0
760.0,573.0
761.0,570.0
760.0,556.0
761.0,540.0
753.0,453.0
749.0,433.0
750.0,413.0
751.0,404.0
749.0,404.0
751.0,409.0
752.0,418.0
753.0,434.0
778.0,472.0
782.0,470.0
782.0,464.0
780.0,458.0
780.0,447.0
781.0,429.0
792.0,411.0
794.0,416.0
801.0,422.0
807.0,432.0
816.0,441.0
818.0,453.0
824.0,467.0
827.0,474.0
826.0,465.0
823.0,454.0
822.0,441.0
820.0,428.0
823.0,419.0
825.0,412.0
822.0,408.0
825.0,451.0
828.0,470.0
830.0,484.0
831.0,497.0
835.0,507.0
834.0,512.0
835.0,507.0
826.0,452.0
827.0,436.0
828.0,429.0
835.0,426.0
841.0,424.0
857.0,424.0
868.0,434.0
899.0,459.0
898.0,465.0
896.0,468.0
887.0,468.0
877.0,467.0
866.0,458.0
862.0,419.0
885.0,414.0
885.0,414.0
896.0,419.0
904.0,429.0
912.0,439.0
915.0,462.0
914.0,455.0
914.0,444.0
912.0,428.0
917.0,414.0
917.0,414.0
921.0,409.0
949.0,439.0
950.0,450.0
952.0,460.0
955.0,469.0
955.0,472.0
955.0,473.0
956.0,452.0
957.0,441.0
970.0,411.0
976.0,407.0
984.0,408.0
993.0,411.0
993.0,413.0
995.0,416.0
993.0,422.0
950.0,454.0
936.0,463.0
918.0,469.0
902.0,476.0
889.0,480.0
877.0,482.0
870.0,483.0
866.0,485.0
865.0,487.0
874.0,495.0
892.0,512.0
902.0,513.0
910.0,512.0
916.0,505.0
946.0,489.0
948.0,501.0
947.0,510.0
948.0,517.0
949.0,525.0
949.0,525.0
954.0,529.0
998.0,552.0
1011.0,559.0
1018.0,561.0
