x,y
484.0,414.0
484.0,414.0
485.0,417.0
484.0,398.0
484.0,398.0
479.0,356.0
486.0,320.0
486.0,320.0
486.0,320.0
497.0,315.0
497.0,315.0
515.0,342.0
509.0,370.0
509.0,370.0
479.0,383.0
449.0,384.0
449.0,384.0
449.0,384.0
435.0,384.0
435.0,384.0
438.0,380.0
461.0,392.0
461.0,392.0
504.0,393.0
541.0,401.0
541.0,401.0
541.0,401.0
563.0,428.0
563.0,428.0
567.0,463.0
555.0,485.0
555.0,485.0
540.0,491.0
528.0,476.0
528.0,476.0
528.0,476.0
526.0,449.0
526.0,449.0
533.0,417.0
541.0,387.0
541.0,387.0
541.0,387.0
545.0,349.0
545.0,349.0
542.0,335.0
541.0,349.0
541.0,349.0
544.0,371.0
556.0,391.0
556.0,391.0
556.0,391.0
580.0,399.0
580.0,399.0
597.0,393.0
598.0,370.0
598.0,370.0
605.0,350.0
616.0,350.0
616.0,350.0
616.0,350.0
624.0,373.0
624.0,373.0
624.0,400.0
623.0,407.0
623.0,407.0
624.0,397.0
631.0,373.0
631.0,373.0
631.0,373.0
636.0,350.0
636.0,350.0
648.0,349.0
658.0,369.0
658.0,369.0
662.0,397.0
666.0,410.0
666.0,410.0
666.0,410.0
665.0,405.0
665.0,405.0
665.0,385.0
672.0,362.0
672.0,362.0
682.0,348.0
702.0,358.0
702.0,358.0
702.0,358.0
720.0,373.0
720.0,373.0
736.0,393.0
733.0,413.0
733.0,413.0
733.0,413.0
713.0,425.0
713.0,425.0
694.0,425.0
680.0,406.0
680.0,406.0
680.0,406.0
681.0,382.0
681.0,382.0
692.0,360.0
712.0,351.0
712.0,351.0
712.0,351.0
732.0,359.0
732.0,359.0
737.0,376.0
736.0,402.0
736.0,402.0
725.0,419.0
719.0,419.0
719.0,419.0
719.0,419.0
728.0,415.0
728.0,415.0
759.0,411.0
786.0,415.0
786.0,415.0
807.0,418.0
813.0,416.0
813.0,416.0
804.0,419.0
787.0,421.0
787.0,421.0
774.0,418.0
761.0,403.0
761.0,403.0
761.0,403.0
756.0,385.0
756.0,385.0
765.0,369.0
784.0,362.0
784.0,362.0
784.0,362.0
808.0,367.0
808.0,367.0
830.0,381.0
839.0,403.0
839.0,403.0
827.0,435.0
804.0,453.0
804.0,453.0
804.0,453.0
782.0,462.0
782.0,462.0
760.0,462.0
736.0,461.0
736.0,461.0
712.0,461.0
699.0,462.0
699.0,462.0
700.0,461.0
710.0,463.0
710.0,463.0
723.0,474.0
736.0,490.0
736.0,490.0
740.0,496.0
743.0,488.0
743.0,488.0
752.0,475.0
759.0,467.0
759.0,467.0
761.0,468.0
759.0,480.0
759.0,480.0
758.0,496.0
753.0,517.0
753.0,517.0
748.0,534.0
750.0,542.0
750.0,542.0
760.0,546.0
782.0,550.0
782.0,550.0
806.0,559.0
811.0,559.0
811.0,559.0
