x,y
442.0,467.0
442.0,465.0
442.0,465.0
441.0,446.0
441.0,430.0
441.0,430.0
444.0,396.0
446.0,379.0
446.0,379.0
455.0,364.0
460.0,368.0
460.0,368.0
465.0,373.0
465.0,373.0
463.0,403.0
454.0,415.0
454.0,415.0
434.0,428.0
426.0,432.0
426.0,432.0
415.0,438.0
415.0,437.0
415.0,437.0
425.0,441.0
440.0,442.0
440.0,442.0
470.0,451.0
486.0,455.0
486.0,455.0
500.0,462.0
500.0,462.0
514.0,488.0
511.0,499.0
511.0,499.0
492.0,515.0
485.0,516.0
485.0,516.0
473.0,500.0
473.0,486.0
473.0,486.0
472.0,469.0
472.0,469.0
474.0,427.0
476.0,410.0
476.0,410.0
478.0,385.0
476.0,378.0
476.0,378.0
475.0,380.0
475.0,380.0
475.0,391.0
475.0,391.0
483.0,416.0
488.0,430.0
488.0,430.0
496.0,437.0
496.0,437.0
506.0,437.0
506.0,437.0
525.0,417.0
530.0,399.0
530.0,399.0
530.0,388.0
530.0,388.0
539.0,383.0
539.0,383.0
569.0,395.0
580.0,402.0
580.0,402.0
596.0,412.0
596.0,412.0
603.0,425.0
603.0,425.0
587.0,441.0
571.0,443.0
571.0,443.0
558.0,435.0
553.0,427.0
553.0,416.0
557.0,404.0
557.0,404.0
568.0,393.0
568.0,393.0
594.0,393.0
598.0,406.0
598.0,406.0
598.0,406.0
597.0,423.0
594.0,430.0
594.0,430.0
598.0,422.0
601.0,406.0
601.0,406.0
604.0,391.0
604.0,391.0
614.0,390.0
618.0,401.0
618.0,401.0
620.0,416.0
621.0,430.0
623.0,437.0
623.0,437.0
625.0,437.0
628.0,430.0
628.0,430.0
630.0,408.0
630.0,408.0
631.0,393.0
631.0,393.0
627.0,404.0
627.0,404.0
628.0,416.0
633.0,432.0
633.0,432.0
647.0,447.0
647.0,447.0
660.0,449.0
660.0,449.0
672.0,440.0
672.0,440.0
675.0,426.0
677.0,407.0
677.0,407.0
690.0,388.0
690.0,388.0
706.0,394.0
706.0,394.0
721.0,406.0
721.0,406.0
732.0,420.0
736.0,440.0
735.0,450.0
735.0,450.0
735.0,450.0
725.0,454.0
725.0,454.0
710.0,455.0
692.0,438.0
696.0,416.0
696.0,416.0
696.0,416.0
704.0,403.0
704.0,403.0
733.0,402.0
739.0,414.0
741.0,430.0
741.0,430.0
740.0,441.0
738.0,446.0
738.0,444.0
738.0,444.0
739.0,427.0
739.0,427.0
744.0,410.0
745.0,378.0
749.0,362.0
744.0,329.0
744.0,329.0
740.0,306.0
740.0,306.0
732.0,320.0
732.0,320.0
715.0,358.0
727.0,377.0
727.0,377.0
742.0,389.0
742.0,389.0
783.0,412.0
793.0,422.0
800.0,436.0
800.0,436.0
800.0,436.0
773.0,460.0
712.0,484.0
712.0,484.0
684.0,488.0
660.0,493.0
660.0,493.0
660.0,493.0
617.0,500.0
603.0,500.0
603.0,500.0
592.0,498.0
592.0,498.0
587.0,498.0
587.0,498.0
584.0,500.0
585.0,500.0
585.0,500.0
593.0,504.0
593.0,504.0
609.0,510.0
621.0,514.0
621.0,514.0
634.0,521.0
634.0,521.0
651.0,530.0
652.0,532.0
