x,y
610.0,325.0
617.0,324.0
625.0,328.0
629.0,333.0
652.0,408.0
654.0,422.0
651.0,431.0
651.0,424.0
648.0,412.0
648.0,399.0
658.0,320.0
657.0,305.0
657.0,300.0
655.0,308.0
646.0,330.0
642.0,342.0
607.0,382.0
603.0,380.0
603.0,380.0
610.0,380.0
621.0,379.0
673.0,378.0
682.0,378.0
683.0,381.0
677.0,381.0
673.0,376.0
667.0,356.0
657.0,313.0
659.0,305.0
663.0,303.0
670.0,307.0
675.0,311.0
684.0,322.0
688.0,336.0
700.0,354.0
749.0,458.0
757.0,483.0
760.0,502.0
760.0,519.0
757.0,529.0
754.0,532.0
748.0,525.0
744.0,515.0
739.0,499.0
729.0,403.0
726.0,379.0
726.0,355.0
727.0,335.0
729.0,318.0
727.0,351.0
735.0,380.0
747.0,396.0
754.0,401.0
760.0,401.0
760.0,401.0
759.0,355.0
760.0,348.0
766.0,341.0
773.0,345.0
784.0,351.0
793.0,356.0
800.0,367.0
802.0,397.0
798.0,391.0
796.0,379.0
793.0,365.0
796.0,346.0
799.0,336.0
809.0,328.0
813.0,331.0
817.0,337.0
834.0,381.0
836.0,390.0
832.0,397.0
831.0,393.0
831.0,385.0
832.0,375.0
848.0,332.0
859.0,337.0
859.0,337.0
871.0,346.0
887.0,389.0
877.0,398.0
868.0,394.0
862.0,386.0
855.0,353.0
865.0,331.0
873.0,329.0
883.0,337.0
894.0,357.0
892.0,372.0
888.0,381.0
887.0,390.0
882.0,389.0
887.0,379.0
894.0,375.0
901.0,375.0
908.0,376.0
922.0,385.0
924.0,386.0
930.0,388.0
931.0,386.0
933.0,378.0
928.0,332.0
928.0,332.0
928.0,329.0
934.0,360.0
940.0,374.0
967.0,385.0
968.0,380.0
966.0,369.0
963.0,355.0
963.0,355.0
966.0,346.0
970.0,341.0
1021.0,358.0
1027.0,367.0
1027.0,375.0
1030.0,383.0
1013.0,389.0
994.0,363.0
989.0,346.0
990.0,334.0
989.0,325.0
994.0,323.0
1001.0,324.0
1008.0,332.0
1024.0,360.0
1020.0,356.0
1019.0,345.0
1017.0,328.0
1012.0,312.0
981.0,227.0
969.0,214.0
961.0,201.0
947.0,202.0
943.0,202.0
941.0,203.0
945.0,221.0
959.0,233.0
1035.0,313.0
1052.0,323.0
1058.0,333.0
1055.0,345.0
1049.0,355.0
1035.0,367.0
966.0,397.0
945.0,401.0
921.0,408.0
901.0,415.0
885.0,419.0
869.0,423.0
857.0,427.0
859.0,442.0
869.0,443.0
876.0,439.0
879.0,433.0
881.0,426.0
880.0,418.0
878.0,409.0
873.0,400.0
847.0,403.0
839.0,407.0
831.0,412.0
822.0,417.0
815.0,421.0
811.0,424.0
830.0,435.0
840.0,430.0
841.0,424.0
840.0,417.0
836.0,412.0
831.0,407.0
828.0,400.0
836.0,411.0
840.0,420.0
844.0,431.0
846.0,444.0
846.0,459.0
838.0,473.0
829.0,483.0
802.0,507.0
807.0,505.0
815.0,500.0
827.0,495.0
843.0,489.0
858.0,481.0
893.0,455.0
892.0,455.0
889.0,455.0
