x,y
654.0,487.0
654.0,487.0
654.0,487.0
654.0,487.0
659.0,418.0
659.0,418.0
659.0,400.0
649.0,415.0
649.0,415.0
637.0,427.0
627.0,434.0
627.0,434.0
635.0,443.0
657.0,445.0
657.0,445.0
678.0,447.0
678.0,447.0
691.0,462.0
701.0,486.0
701.0,486.0
707.0,542.0
706.0,553.0
706.0,553.0
704.0,548.0
700.0,525.0
700.0,525.0
702.0,447.0
697.0,412.0
697.0,393.0
697.0,393.0
697.0,401.0
697.0,401.0
709.0,443.0
717.0,451.0
725.0,446.0
725.0,446.0
727.0,433.0
727.0,433.0
735.0,405.0
749.0,406.0
749.0,406.0
766.0,414.0
779.0,426.0
779.0,426.0
783.0,443.0
783.0,443.0
763.0,450.0
754.0,440.0
754.0,440.0
749.0,429.0
776.0,412.0
783.0,419.0
787.0,428.0
788.0,438.0
787.0,444.0
785.0,445.0
783.0,425.0
794.0,411.0
801.0,407.0
808.0,411.0
811.0,415.0
818.0,421.0
822.0,434.0
823.0,445.0
831.0,483.0
832.0,490.0
830.0,493.0
829.0,489.0
828.0,480.0
828.0,465.0
829.0,450.0
833.0,397.0
836.0,392.0
834.0,395.0
834.0,395.0
829.0,412.0
827.0,421.0
822.0,432.0
803.0,451.0
806.0,452.0
813.0,453.0
820.0,452.0
833.0,450.0
846.0,452.0
854.0,451.0
836.0,461.0
823.0,464.0
809.0,464.0
791.0,465.0
778.0,467.0
769.0,468.0
759.0,470.0
753.0,472.0
760.0,493.0
764.0,498.0
767.0,505.0
774.0,510.0
776.0,508.0
783.0,509.0
787.0,503.0
797.0,478.0
796.0,470.0
797.0,462.0
799.0,452.0
796.0,441.0
794.0,427.0
770.0,365.0
762.0,357.0
759.0,352.0
