x,y
650.0,455.0
649.0,457.0
672.0,494.0
680.0,516.0
689.0,531.0
694.0,544.0
696.0,557.0
700.0,551.0
701.0,541.0
705.0,526.0
709.0,510.0
711.0,489.0
716.0,468.0
725.0,409.0
726.0,409.0
728.0,413.0
726.0,422.0
722.0,432.0
721.0,447.0
715.0,461.0
708.0,473.0
680.0,510.0
670.0,514.0
665.0,518.0
659.0,517.0
654.0,520.0
655.0,522.0
686.0,530.0
699.0,532.0
712.0,534.0
728.0,537.0
741.0,535.0
754.0,540.0
766.0,540.0
772.0,533.0
764.0,528.0
754.0,520.0
745.0,513.0
736.0,504.0
726.0,492.0
720.0,478.0
726.0,429.0
729.0,420.0
740.0,419.0
746.0,418.0
757.0,425.0
766.0,433.0
776.0,444.0
817.0,515.0
819.0,527.0
819.0,537.0
815.0,538.0
808.0,539.0
804.0,536.0
801.0,502.0
807.0,493.0
815.0,486.0
825.0,483.0
836.0,478.0
847.0,471.0
854.0,466.0
858.0,457.0
856.0,414.0
857.0,409.0
860.0,408.0
866.0,409.0
878.0,418.0
886.0,430.0
925.0,468.0
937.0,475.0
946.0,483.0
957.0,493.0
957.0,493.0
952.0,494.0
945.0,495.0
937.0,497.0
910.0,463.0
915.0,433.0
923.0,419.0
929.0,420.0
929.0,420.0
957.0,448.0
960.0,460.0
958.0,471.0
956.0,477.0
953.0,484.0
953.0,482.0
949.0,468.0
950.0,455.0
957.0,419.0
963.0,411.0
969.0,406.0
975.0,407.0
983.0,411.0
991.0,420.0
998.0,431.0
1013.0,471.0
1016.0,479.0
1014.0,483.0
1015.0,484.0
1014.0,476.0
1014.0,469.0
1014.0,461.0
1018.0,450.0
1019.0,437.0
1022.0,420.0
1034.0,407.0
1039.0,408.0
1046.0,411.0
1051.0,412.0
1075.0,447.0
1080.0,473.0
1081.0,479.0
1080.0,484.0
1080.0,483.0
1079.0,477.0
1079.0,477.0
1081.0,429.0
1084.0,416.0
1085.0,405.0
1092.0,395.0
1094.0,392.0
1101.0,393.0
1109.0,391.0
1115.0,394.0
1127.0,403.0
1123.0,407.0
1114.0,412.0
1102.0,421.0
1072.0,447.0
1056.0,456.0
1037.0,474.0
969.0,511.0
946.0,521.0
911.0,540.0
898.0,544.0
890.0,551.0
888.0,562.0
892.0,567.0
895.0,575.0
901.0,579.0
925.0,592.0
933.0,592.0
945.0,590.0
954.0,588.0
966.0,581.0
994.0,564.0
1002.0,563.0
