x,y
711.0,356.0
711.0,356.0
720.0,366.0
720.0,366.0
725.0,390.0
734.0,421.0
737.0,424.0
737.0,424.0
737.0,408.0
737.0,408.0
738.0,389.0
746.0,327.0
749.0,305.0
749.0,305.0
747.0,308.0
747.0,308.0
739.0,327.0
719.0,361.0
708.0,372.0
708.0,372.0
700.0,373.0
719.0,382.0
744.0,383.0
744.0,383.0
778.0,396.0
778.0,396.0
788.0,396.0
785.0,388.0
776.0,375.0
776.0,375.0
767.0,348.0
767.0,348.0
770.0,311.0
781.0,304.0
792.0,313.0
792.0,313.0
810.0,334.0
810.0,334.0
840.0,390.0
836.0,408.0
828.0,419.0
828.0,419.0
813.0,416.0
813.0,416.0
809.0,413.0
809.0,413.0
817.0,402.0
847.0,389.0
850.0,370.0
850.0,370.0
852.0,348.0
852.0,348.0
853.0,328.0
875.0,311.0
893.0,323.0
893.0,323.0
915.0,344.0
915.0,344.0
959.0,380.0
955.0,385.0
937.0,377.0
937.0,377.0
920.0,361.0
920.0,361.0
910.0,349.0
910.0,349.0
912.0,327.0
932.0,305.0
952.0,314.0
952.0,314.0
968.0,329.0
968.0,329.0
973.0,345.0
960.0,374.0
952.0,378.0
952.0,378.0
947.0,380.0
947.0,375.0
947.0,375.0
965.0,370.0
977.0,379.0
977.0,379.0
985.0,388.0
985.0,388.0
988.0,391.0
989.0,367.0
989.0,347.0
989.0,347.0
987.0,320.0
987.0,320.0
988.0,307.0
988.0,307.0
983.0,305.0
984.0,340.0
988.0,360.0
988.0,360.0
996.0,378.0
1004.0,391.0
1004.0,391.0
1015.0,393.0
1016.0,380.0
1017.0,358.0
1017.0,358.0
1015.0,331.0
1015.0,331.0
1062.0,311.0
1062.0,311.0
1070.0,320.0
1070.0,320.0
1074.0,334.0
1051.0,344.0
1051.0,344.0
1001.0,373.0
983.0,390.0
983.0,390.0
962.0,402.0
962.0,402.0
950.0,412.0
942.0,430.0
945.0,430.0
945.0,430.0
952.0,428.0
955.0,419.0
955.0,419.0
958.0,396.0
952.0,387.0
948.0,379.0
948.0,379.0
944.0,374.0
944.0,374.0
