x,y
296.0,557.0
289.0,570.0
289.0,568.0
291.0,555.0
291.0,555.0
291.0,555.0
299.0,510.0
303.0,486.0
303.0,486.0
309.0,472.0
309.0,472.0
325.0,465.0
347.0,474.0
353.0,490.0
348.0,516.0
348.0,516.0
338.0,535.0
338.0,535.0
320.0,541.0
320.0,541.0
280.0,545.0
264.0,542.0
264.0,542.0
253.0,545.0
253.0,545.0
253.0,544.0
253.0,544.0
268.0,540.0
288.0,539.0
288.0,539.0
312.0,539.0
312.0,539.0
367.0,543.0
385.0,543.0
385.0,543.0
395.0,544.0
395.0,544.0
397.0,542.0
397.0,542.0
398.0,528.0
399.0,513.0
399.0,513.0
408.0,496.0
408.0,496.0
414.0,479.0
414.0,479.0
415.0,475.0
413.0,497.0
413.0,497.0
414.0,519.0
414.0,519.0
434.0,539.0
452.0,540.0
452.0,540.0
475.0,538.0
475.0,538.0
498.0,535.0
498.0,535.0
527.0,529.0
533.0,524.0
533.0,524.0
529.0,528.0
529.0,528.0
501.0,537.0
479.0,527.0
479.0,527.0
465.0,514.0
465.0,514.0
462.0,505.0
462.0,505.0
471.0,477.0
486.0,467.0
486.0,467.0
502.0,457.0
502.0,457.0
526.0,460.0
526.0,460.0
540.0,500.0
540.0,525.0
540.0,525.0
537.0,532.0
537.0,532.0
538.0,530.0
538.0,530.0
541.0,485.0
548.0,469.0
548.0,469.0
556.0,462.0
556.0,462.0
564.0,466.0
564.0,466.0
573.0,516.0
578.0,534.0
578.0,534.0
577.0,533.0
577.0,533.0
580.0,529.0
580.0,529.0
580.0,473.0
581.0,463.0
581.0,463.0
580.0,473.0
580.0,473.0
585.0,513.0
593.0,529.0
593.0,529.0
604.0,541.0
604.0,541.0
614.0,535.0
614.0,535.0
624.0,488.0
627.0,465.0
627.0,465.0
633.0,456.0
633.0,456.0
647.0,456.0
647.0,456.0
675.0,480.0
683.0,504.0
683.0,504.0
685.0,529.0
685.0,529.0
679.0,544.0
679.0,544.0
645.0,540.0
642.0,524.0
642.0,524.0
643.0,502.0
643.0,502.0
649.0,483.0
649.0,483.0
670.0,451.0
680.0,469.0
680.0,469.0
678.0,499.0
678.0,499.0
679.0,525.0
679.0,525.0
676.0,538.0
675.0,520.0
675.0,520.0
675.0,493.0
675.0,493.0
683.0,464.0
683.0,464.0
695.0,403.0
689.0,378.0
689.0,378.0
671.0,376.0
671.0,376.0
663.0,392.0
663.0,392.0
659.0,423.0
675.0,442.0
675.0,442.0
699.0,457.0
699.0,457.0
730.0,495.0
729.0,519.0
729.0,519.0
725.0,541.0
725.0,541.0
708.0,558.0
708.0,558.0
657.0,585.0
626.0,591.0
626.0,591.0
586.0,591.0
586.0,591.0
550.0,592.0
550.0,592.0
501.0,597.0
484.0,598.0
484.0,598.0
476.0,600.0
476.0,600.0
474.0,601.0
474.0,601.0
470.0,599.0
473.0,592.0
473.0,592.0
476.0,586.0
476.0,586.0
488.0,577.0
488.0,577.0
529.0,570.0
545.0,572.0
545.0,572.0
554.0,579.0
554.0,579.0
552.0,587.0
552.0,587.0
538.0,595.0
530.0,596.0
530.0,596.0
523.0,600.0
523.0,600.0
515.0,602.0
506.0,604.0
501.0,606.0
503.0,608.0
503.0,608.0
512.0,609.0
512.0,609.0
525.0,614.0
525.0,614.0
559.0,631.0
559.0,631.0
574.0,636.0
578.0,638.0
578.0,638.0
