x,y
616.0,435.0
616.0,438.0
635.0,480.0
637.0,493.0
638.0,502.0
638.0,501.0
638.0,497.0
637.0,488.0
639.0,472.0
647.0,421.0
649.0,420.0
649.0,426.0
648.0,434.0
643.0,447.0
639.0,459.0
614.0,474.0
625.0,477.0
629.0,479.0
629.0,479.0
640.0,478.0
682.0,489.0
682.0,489.0
678.0,487.0
673.0,481.0
667.0,474.0
659.0,454.0
667.0,435.0
672.0,434.0
677.0,437.0
681.0,443.0
688.0,450.0
694.0,462.0
699.0,472.0
701.0,481.0
702.0,485.0
699.0,467.0
700.0,458.0
701.0,446.0
704.0,442.0
725.0,452.0
728.0,464.0
732.0,484.0
732.0,492.0
734.0,494.0
732.0,492.0
732.0,492.0
731.0,482.0
734.0,441.0
739.0,438.0
744.0,439.0
760.0,451.0
764.0,462.0
767.0,475.0
768.0,483.0
764.0,479.0
763.0,470.0
765.0,456.0
766.0,445.0
772.0,437.0
784.0,442.0
794.0,451.0
810.0,486.0
810.0,493.0
811.0,495.0
809.0,492.0
806.0,486.0
806.0,476.0
804.0,462.0
806.0,432.0
804.0,417.0
781.0,360.0
781.0,360.0
773.0,350.0
768.0,347.0
766.0,348.0
763.0,353.0
790.0,404.0
804.0,416.0
817.0,428.0
832.0,439.0
843.0,450.0
868.0,480.0
865.0,491.0
860.0,490.0
852.0,485.0
847.0,476.0
841.0,464.0
845.0,438.0
852.0,435.0
863.0,439.0
869.0,442.0
884.0,461.0
891.0,472.0
896.0,484.0
900.0,496.0
904.0,508.0
903.0,522.0
903.0,538.0
901.0,535.0
900.0,528.0
897.0,516.0
896.0,481.0
896.0,463.0
896.0,448.0
897.0,435.0
893.0,448.0
889.0,460.0
889.0,460.0
884.0,473.0
877.0,485.0
861.0,495.0
891.0,488.0
903.0,485.0
916.0,483.0
924.0,484.0
932.0,485.0
934.0,486.0
934.0,486.0
875.0,494.0
861.0,493.0
848.0,492.0
836.0,494.0
829.0,495.0
833.0,506.0
847.0,520.0
853.0,526.0
858.0,534.0
860.0,535.0
865.0,535.0
870.0,533.0
876.0,527.0
874.0,480.0
874.0,480.0
867.0,453.0
866.0,441.0
860.0,425.0
860.0,413.0
856.0,403.0
