x,y
721.0,444.0
724.0,454.0
726.0,473.0
729.0,490.0
732.0,502.0
731.0,512.0
730.0,487.0
730.0,466.0
731.0,446.0
732.0,426.0
738.0,401.0
740.0,395.0
740.0,395.0
717.0,432.0
712.0,445.0
704.0,455.0
696.0,462.0
690.0,467.0
687.0,468.0
694.0,472.0
725.0,470.0
739.0,469.0
752.0,468.0
763.0,467.0
774.0,468.0
786.0,475.0
774.0,468.0
766.0,463.0
766.0,463.0
759.0,454.0
764.0,411.0
772.0,407.0
778.0,403.0
782.0,410.0
785.0,422.0
788.0,447.0
788.0,458.0
787.0,458.0
786.0,449.0
787.0,438.0
788.0,427.0
792.0,418.0
795.0,413.0
804.0,415.0
808.0,425.0
822.0,461.0
825.0,469.0
827.0,470.0
828.0,469.0
830.0,461.0
830.0,452.0
831.0,444.0
829.0,433.0
827.0,418.0
828.0,445.0
828.0,445.0
835.0,461.0
840.0,470.0
847.0,477.0
851.0,478.0
853.0,474.0
851.0,413.0
851.0,411.0
852.0,411.0
852.0,411.0
854.0,416.0
862.0,452.0
871.0,468.0
881.0,472.0
887.0,472.0
894.0,469.0
898.0,464.0
901.0,425.0
902.0,417.0
904.0,410.0
910.0,408.0
921.0,413.0
928.0,418.0
931.0,425.0
932.0,435.0
908.0,459.0
893.0,468.0
875.0,475.0
855.0,480.0
824.0,491.0
809.0,497.0
798.0,502.0
801.0,530.0
810.0,536.0
818.0,539.0
818.0,539.0
832.0,545.0
843.0,549.0
