x,y
615.0,461.0
615.0,462.0
618.0,465.0
621.0,474.0
626.0,484.0
632.0,500.0
654.0,545.0
655.0,544.0
656.0,542.0
654.0,534.0
651.0,523.0
652.0,511.0
655.0,433.0
659.0,420.0
660.0,404.0
663.0,397.0
662.0,394.0
662.0,398.0
647.0,461.0
642.0,479.0
636.0,496.0
626.0,504.0
622.0,514.0
617.0,519.0
615.0,522.0
646.0,521.0
658.0,516.0
676.0,514.0
692.0,518.0
705.0,515.0
713.0,516.0
715.0,519.0
715.0,516.0
683.0,494.0
672.0,484.0
668.0,475.0
664.0,461.0
661.0,450.0
664.0,439.0
686.0,411.0
695.0,413.0
701.0,418.0
712.0,427.0
722.0,437.0
729.0,449.0
737.0,463.0
744.0,476.0
753.0,489.0
754.0,483.0
750.0,473.0
750.0,460.0
750.0,441.0
753.0,423.0
755.0,414.0
788.0,426.0
798.0,443.0
806.0,454.0
808.0,469.0
815.0,476.0
821.0,486.0
825.0,488.0
827.0,485.0
830.0,442.0
828.0,430.0
827.0,417.0
826.0,408.0
823.0,407.0
825.0,411.0
831.0,419.0
858.0,474.0
869.0,485.0
879.0,490.0
887.0,491.0
892.0,488.0
899.0,480.0
902.0,468.0
901.0,455.0
903.0,418.0
905.0,423.0
907.0,434.0
907.0,446.0
911.0,458.0
911.0,470.0
944.0,484.0
951.0,476.0
957.0,463.0
955.0,450.0
960.0,437.0
961.0,422.0
960.0,410.0
958.0,405.0
953.0,412.0
949.0,423.0
940.0,435.0
928.0,449.0
917.0,463.0
886.0,485.0
886.0,485.0
809.0,523.0
788.0,531.0
771.0,540.0
755.0,545.0
740.0,554.0
733.0,562.0
721.0,569.0
711.0,582.0
717.0,583.0
727.0,578.0
738.0,577.0
753.0,570.0
770.0,567.0
790.0,567.0
804.0,562.0
