x,y
568.0,575.0
568.0,571.0
568.0,571.0
568.0,571.0
568.0,549.0
567.0,514.0
567.0,514.0
570.0,481.0
579.0,463.0
579.0,463.0
591.0,468.0
594.0,498.0
594.0,498.0
577.0,521.0
577.0,521.0
577.0,521.0
554.0,529.0
536.0,528.0
536.0,528.0
536.0,528.0
533.0,525.0
554.0,524.0
554.0,524.0
584.0,528.0
584.0,528.0
584.0,528.0
607.0,531.0
607.0,531.0
607.0,531.0
615.0,534.0
616.0,526.0
616.0,526.0
616.0,508.0
616.0,508.0
623.0,480.0
638.0,469.0
638.0,469.0
652.0,493.0
652.0,493.0
652.0,493.0
656.0,522.0
661.0,538.0
661.0,538.0
661.0,538.0
662.0,528.0
662.0,528.0
665.0,502.0
667.0,477.0
667.0,477.0
667.0,477.0
669.0,473.0
669.0,473.0
675.0,492.0
674.0,514.0
674.0,514.0
687.0,532.0
699.0,535.0
699.0,535.0
699.0,535.0
706.0,518.0
706.0,518.0
709.0,489.0
707.0,480.0
707.0,480.0
707.0,480.0
707.0,505.0
707.0,505.0
711.0,528.0
731.0,541.0
731.0,541.0
731.0,541.0
753.0,534.0
753.0,534.0
761.0,506.0
768.0,475.0
768.0,475.0
787.0,473.0
795.0,503.0
795.0,503.0
795.0,503.0
784.0,531.0
784.0,531.0
758.0,556.0
716.0,572.0
716.0,572.0
716.0,572.0
677.0,576.0
677.0,576.0
649.0,572.0
631.0,571.0
631.0,571.0
620.0,573.0
619.0,574.0
619.0,574.0
619.0,574.0
627.0,583.0
627.0,583.0
647.0,592.0
663.0,603.0
663.0,603.0
663.0,603.0
673.0,611.0
