x,y
575.0,555.0
575.0,541.0
575.0,541.0
575.0,524.0
575.0,524.0
575.0,495.0
580.0,469.0
580.0,469.0
592.0,454.0
592.0,454.0
592.0,454.0
601.0,464.0
604.0,488.0
604.0,488.0
597.0,508.0
582.0,517.0
582.0,517.0
561.0,520.0
552.0,518.0
552.0,518.0
552.0,518.0
568.0,520.0
568.0,520.0
596.0,525.0
623.0,525.0
623.0,525.0
644.0,527.0
644.0,528.0
644.0,528.0
644.0,528.0
641.0,523.0
641.0,523.0
640.0,508.0
647.0,483.0
647.0,483.0
647.0,483.0
663.0,467.0
663.0,467.0
679.0,484.0
678.0,512.0
678.0,512.0
673.0,522.0
674.0,518.0
674.0,518.0
682.0,501.0
692.0,477.0
692.0,477.0
692.0,477.0
695.0,471.0
695.0,471.0
703.0,483.0
708.0,508.0
708.0,508.0
704.0,523.0
704.0,517.0
704.0,517.0
704.0,517.0
709.0,496.0
709.0,496.0
715.0,480.0
722.0,474.0
722.0,474.0
736.0,491.0
744.0,515.0
744.0,515.0
745.0,530.0
744.0,525.0
744.0,525.0
744.0,525.0
748.0,493.0
748.0,493.0
757.0,448.0
759.0,397.0
759.0,397.0
750.0,383.0
726.0,398.0
726.0,398.0
725.0,421.0
737.0,444.0
737.0,444.0
737.0,444.0
760.0,473.0
760.0,473.0
777.0,506.0
774.0,533.0
774.0,533.0
753.0,551.0
728.0,555.0
728.0,555.0
728.0,555.0
713.0,555.0
713.0,555.0
716.0,559.0
724.0,569.0
724.0,569.0
724.0,569.0
736.0,583.0
736.0,583.0
747.0,595.0
749.0,600.0
749.0,600.0
