x,y
690.0,452.0
689.0,462.0
689.0,458.0
690.0,449.0
692.0,437.0
693.0,423.0
694.0,410.0
696.0,385.0
693.0,392.0
685.0,403.0
680.0,409.0
673.0,415.0
667.0,418.0
665.0,420.0
678.0,430.0
686.0,427.0
693.0,428.0
702.0,429.0
727.0,435.0
726.0,428.0
724.0,422.0
729.0,393.0
735.0,390.0
739.0,391.0
744.0,395.0
749.0,400.0
753.0,410.0
755.0,419.0
762.0,427.0
759.0,428.0
757.0,420.0
758.0,408.0
757.0,402.0
778.0,397.0
786.0,400.0
804.0,409.0
816.0,416.0
823.0,424.0
823.0,424.0
829.0,440.0
808.0,440.0
802.0,435.0
796.0,429.0
793.0,421.0
793.0,407.0
795.0,400.0
801.0,397.0
824.0,397.0
827.0,403.0
834.0,412.0
832.0,419.0
832.0,428.0
825.0,438.0
821.0,436.0
824.0,426.0
831.0,424.0
837.0,425.0
843.0,426.0
851.0,429.0
858.0,436.0
861.0,440.0
864.0,448.0
865.0,451.0
863.0,448.0
863.0,424.0
865.0,414.0
864.0,406.0
863.0,397.0
866.0,392.0
867.0,391.0
858.0,414.0
851.0,421.0
849.0,429.0
849.0,429.0
844.0,436.0
829.0,459.0
828.0,468.0
831.0,471.0
835.0,471.0
837.0,470.0
838.0,465.0
837.0,446.0
831.0,441.0
825.0,436.0
820.0,434.0
817.0,434.0
809.0,440.0
803.0,442.0
797.0,443.0
788.0,446.0
770.0,455.0
768.0,457.0
763.0,460.0
762.0,463.0
763.0,470.0
766.0,473.0
772.0,474.0
780.0,460.0
778.0,454.0
778.0,454.0
776.0,448.0
771.0,442.0
767.0,438.0
762.0,431.0
761.0,429.0
761.0,429.0
762.0,430.0
763.0,431.0
762.0,431.0
