x,y
787.0,551.0
786.0,535.0
791.0,518.0
791.0,493.0
794.0,474.0
795.0,442.0
795.0,438.0
783.0,454.0
774.0,466.0
766.0,472.0
759.0,480.0
751.0,488.0
747.0,489.0
749.0,493.0
804.0,496.0
819.0,495.0
837.0,494.0
852.0,496.0
860.0,501.0
852.0,500.0
833.0,493.0
826.0,483.0
822.0,468.0
825.0,460.0
842.0,444.0
846.0,445.0
853.0,453.0
859.0,461.0
866.0,477.0
864.0,493.0
863.0,495.0
864.0,471.0
865.0,459.0
870.0,448.0
873.0,440.0
879.0,437.0
882.0,441.0
894.0,456.0
903.0,495.0
903.0,502.0
900.0,499.0
900.0,499.0
902.0,495.0
901.0,483.0
902.0,468.0
904.0,452.0
907.0,432.0
906.0,439.0
908.0,452.0
908.0,464.0
908.0,464.0
904.0,511.0
904.0,520.0
902.0,520.0
900.0,513.0
898.0,500.0
896.0,488.0
891.0,471.0
868.0,415.0
859.0,397.0
855.0,383.0
849.0,378.0
847.0,376.0
