x,y
613.0,429.0
619.0,435.0
626.0,443.0
631.0,456.0
636.0,468.0
640.0,483.0
641.0,487.0
639.0,477.0
638.0,465.0
638.0,448.0
640.0,433.0
642.0,416.0
650.0,414.0
645.0,426.0
638.0,433.0
630.0,442.0
621.0,448.0
615.0,454.0
612.0,466.0
629.0,464.0
629.0,464.0
642.0,462.0
659.0,459.0
674.0,462.0
715.0,466.0
717.0,468.0
715.0,469.0
709.0,467.0
700.0,465.0
680.0,454.0
680.0,454.0
676.0,433.0
681.0,428.0
687.0,425.0
693.0,423.0
701.0,423.0
708.0,428.0
718.0,441.0
716.0,464.0
714.0,470.0
712.0,476.0
707.0,481.0
706.0,484.0
707.0,488.0
709.0,491.0
712.0,494.0
720.0,484.0
718.0,476.0
715.0,470.0
713.0,467.0
711.0,461.0
710.0,462.0
704.0,481.0
692.0,498.0
685.0,507.0
678.0,517.0
678.0,517.0
675.0,526.0
668.0,534.0
670.0,542.0
675.0,539.0
691.0,529.0
700.0,525.0
709.0,519.0
719.0,513.0
729.0,511.0
741.0,503.0
740.0,504.0
