x,y
653.0,510.0
646.0,509.0
641.0,506.0
649.0,522.0
656.0,521.0
662.0,518.0
664.0,512.0
662.0,500.0
661.0,481.0
661.0,464.0
679.0,427.0
687.0,428.0
697.0,433.0
705.0,443.0
714.0,453.0
719.0,468.0
725.0,483.0
729.0,495.0
713.0,509.0
707.0,503.0
707.0,495.0
709.0,491.0
714.0,490.0
724.0,491.0
733.0,494.0
772.0,521.0
776.0,529.0
778.0,532.0
781.0,536.0
781.0,531.0
780.0,525.0
780.0,518.0
778.0,508.0
776.0,466.0
775.0,453.0
780.0,444.0
784.0,437.0
792.0,438.0
799.0,440.0
837.0,481.0
844.0,491.0
844.0,501.0
843.0,510.0
841.0,516.0
834.0,514.0
829.0,508.0
825.0,457.0
829.0,447.0
836.0,438.0
841.0,432.0
847.0,428.0
854.0,429.0
869.0,439.0
908.0,505.0
916.0,524.0
925.0,544.0
930.0,559.0
932.0,571.0
935.0,576.0
932.0,574.0
931.0,567.0
921.0,501.0
919.0,486.0
919.0,467.0
922.0,452.0
923.0,439.0
925.0,434.0
927.0,432.0
931.0,468.0
930.0,487.0
926.0,501.0
924.0,517.0
919.0,527.0
914.0,537.0
907.0,541.0
893.0,541.0
895.0,542.0
901.0,539.0
910.0,540.0
924.0,540.0
935.0,538.0
946.0,535.0
964.0,531.0
959.0,530.0
949.0,533.0
934.0,536.0
905.0,541.0
905.0,541.0
882.0,542.0
862.0,542.0
803.0,540.0
796.0,541.0
795.0,545.0
798.0,549.0
804.0,557.0
822.0,576.0
832.0,584.0
832.0,584.0
864.0,593.0
868.0,589.0
870.0,579.0
873.0,572.0
876.0,566.0
876.0,562.0
879.0,558.0
863.0,563.0
856.0,566.0
851.0,571.0
851.0,572.0
854.0,577.0
862.0,583.0
873.0,592.0
885.0,600.0
933.0,641.0
934.0,641.0
935.0,645.0
933.0,643.0
