x,y
641.0,519.0
641.0,518.0
643.0,511.0
660.0,475.0
665.0,467.0
669.0,457.0
673.0,447.0
679.0,435.0
682.0,425.0
686.0,419.0
694.0,413.0
713.0,436.0
717.0,446.0
720.0,459.0
726.0,473.0
731.0,487.0
739.0,499.0
746.0,509.0
750.0,532.0
747.0,529.0
745.0,524.0
744.0,516.0
745.0,510.0
749.0,503.0
757.0,499.0
799.0,508.0
807.0,514.0
813.0,520.0
818.0,525.0
816.0,525.0
816.0,519.0
813.0,508.0
811.0,495.0
804.0,426.0
810.0,416.0
818.0,408.0
829.0,408.0
840.0,412.0
853.0,421.0
864.0,436.0
873.0,450.0
898.0,517.0
899.0,525.0
898.0,526.0
899.0,520.0
899.0,511.0
895.0,496.0
891.0,424.0
901.0,410.0
907.0,413.0
907.0,413.0
919.0,421.0
930.0,433.0
966.0,491.0
974.0,509.0
978.0,521.0
980.0,526.0
979.0,525.0
975.0,516.0
972.0,501.0
972.0,501.0
967.0,426.0
975.0,412.0
981.0,403.0
994.0,395.0
1005.0,398.0
1028.0,406.0
1052.0,426.0
1058.0,429.0
1060.0,433.0
1061.0,429.0
1058.0,429.0
1055.0,425.0
1053.0,424.0
