x,y
724.0,461.0
722.0,463.0
723.0,457.0
726.0,452.0
731.0,444.0
738.0,430.0
745.0,418.0
749.0,408.0
770.0,400.0
774.0,410.0
777.0,420.0
783.0,432.0
792.0,444.0
796.0,453.0
818.0,462.0
822.0,460.0
828.0,457.0
840.0,456.0
850.0,452.0
904.0,455.0
913.0,458.0
921.0,461.0
922.0,466.0
919.0,471.0
912.0,473.0
860.0,458.0
854.0,448.0
850.0,439.0
859.0,425.0
879.0,417.0
914.0,432.0
921.0,439.0
924.0,450.0
929.0,459.0
932.0,468.0
931.0,472.0
932.0,472.0
929.0,470.0
936.0,421.0
938.0,413.0
940.0,408.0
942.0,409.0
940.0,411.0
939.0,418.0
938.0,426.0
934.0,437.0
910.0,493.0
902.0,510.0
896.0,527.0
886.0,543.0
878.0,556.0
869.0,565.0
885.0,549.0
895.0,539.0
910.0,527.0
910.0,527.0
924.0,518.0
939.0,509.0
968.0,491.0
968.0,491.0
963.0,491.0
