x,y
582.0,463.0
575.0,459.0
570.0,457.0
562.0,471.0
566.0,477.0
573.0,484.0
584.0,490.0
594.0,497.0
605.0,494.0
611.0,491.0
617.0,489.0
623.0,434.0
627.0,423.0
633.0,417.0
642.0,414.0
652.0,416.0
666.0,423.0
696.0,464.0
696.0,473.0
691.0,479.0
686.0,482.0
680.0,479.0
677.0,475.0
677.0,470.0
711.0,464.0
724.0,463.0
737.0,469.0
749.0,474.0
758.0,475.0
767.0,476.0
780.0,478.0
789.0,478.0
807.0,479.0
805.0,478.0
799.0,476.0
783.0,475.0
769.0,472.0
759.0,463.0
750.0,459.0
748.0,431.0
755.0,423.0
759.0,419.0
772.0,418.0
781.0,417.0
795.0,422.0
803.0,429.0
812.0,439.0
824.0,467.0
821.0,467.0
821.0,460.0
816.0,452.0
816.0,434.0
820.0,424.0
836.0,412.0
844.0,420.0
852.0,423.0
860.0,432.0
864.0,442.0
872.0,450.0
880.0,456.0
919.0,468.0
924.0,467.0
933.0,467.0
932.0,469.0
928.0,470.0
916.0,472.0
905.0,471.0
892.0,467.0
868.0,432.0
868.0,421.0
874.0,411.0
880.0,407.0
887.0,405.0
897.0,402.0
909.0,404.0
935.0,434.0
933.0,447.0
931.0,460.0
928.0,468.0
918.0,478.0
908.0,488.0
894.0,495.0
882.0,501.0
825.0,537.0
811.0,545.0
798.0,554.0
787.0,561.0
780.0,568.0
775.0,572.0
792.0,565.0
810.0,554.0
829.0,549.0
854.0,542.0
871.0,531.0
890.0,525.0
906.0,522.0
915.0,516.0
