x,y
694.0,475.0
694.0,466.0
707.0,442.0
711.0,432.0
716.0,419.0
720.0,412.0
726.0,408.0
746.0,426.0
751.0,438.0
760.0,452.0
766.0,462.0
779.0,476.0
784.0,477.0
789.0,475.0
803.0,467.0
811.0,467.0
819.0,464.0
828.0,468.0
837.0,470.0
842.0,474.0
844.0,479.0
838.0,482.0
828.0,482.0
788.0,461.0
788.0,461.0
784.0,452.0
781.0,441.0
782.0,430.0
816.0,419.0
824.0,430.0
829.0,438.0
831.0,450.0
834.0,463.0
834.0,469.0
829.0,469.0
827.0,452.0
830.0,438.0
831.0,429.0
834.0,419.0
840.0,410.0
847.0,408.0
866.0,424.0
871.0,437.0
875.0,448.0
876.0,468.0
875.0,470.0
874.0,471.0
873.0,463.0
872.0,450.0
873.0,440.0
887.0,410.0
894.0,411.0
902.0,418.0
916.0,440.0
921.0,452.0
923.0,463.0
926.0,461.0
923.0,445.0
920.0,428.0
920.0,406.0
920.0,406.0
916.0,384.0
909.0,338.0
904.0,319.0
878.0,300.0
875.0,308.0
873.0,321.0
875.0,333.0
877.0,347.0
884.0,362.0
884.0,362.0
912.0,393.0
953.0,437.0
948.0,442.0
940.0,446.0
925.0,449.0
909.0,454.0
888.0,459.0
867.0,464.0
799.0,486.0
791.0,494.0
786.0,498.0
787.0,504.0
791.0,510.0
799.0,518.0
808.0,527.0
816.0,532.0
846.0,546.0
852.0,543.0
855.0,538.0
859.0,530.0
863.0,522.0
862.0,511.0
844.0,458.0
838.0,442.0
829.0,424.0
821.0,407.0
814.0,388.0
810.0,373.0
809.0,362.0
